Tournament	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	A	A	A	2R	3R	1R	1R	2R	1R	1R	2R	1R	3R	1R
French Open	A	1R	A	3R	4R	3R	4R	2R	1R	A	A	A	2R	2R	1R
Wimbledon	A	1R	A	2R	SF	1R	4R	2R	2R	A	2R	1R	3R	4R	4R
US Open	A	3R	2R	4R	3R	4R	1R	4R	3R	2R	Q1	Q1	1R	1R	1R
Win–Loss	0–0	2–3	1–1	6–3	11–4	7–4	6–4	5–4	4–4	1–2	1–2	1–2	3–4	6–4	3–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	3R	A	A	1R	2R	2R	1R	3R	A	2R	A	A	3R	2R
Miami Masters	A	1R	2R	A	1R	2R	3R	2R	2R	A	3R	A	1R	2R	2R
Monte Carlo Masters	A	A	A	A	1R	1R	1R	2R	1R	A	1R	A	A	1R	A
Rome Masters	A	A	A	A	3R	1R	A	A	2R	A	A	A	A	2R	Q2
Madrid Masters	A	A	A	A	2R	A	1R	A	1R	A	A	A	A	3R	A
Canada Masters	A	A	A	1R	1R	1R	1R	3R	QF	A	A	A	2R	A	A
Cincinnati Masters	A	1R	A	2R	3R	2R	1R	1R	1R	A	A	A	A	1R	A
Shanghai Masters	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series	A	A	A	A
Paris Masters	A	A	A	3R	2R	A	2R	1R	1R	A	A	A	1R	A	A
Hamburg Masters	A	A	A	A	1R	2R	1R	A	1R	A	1R	NMS	NMS	NMS	NMS
Win–Loss	0–0	2–3	1–1	3–3	6–9	3–7	4–8	3–6	7–9	0–0	3–4	0–0	1–3	6–6	2–2
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles–Finals	0–1	0–1	0–0	0–2	0–0	0–0	0–2	1–1	0–2	2–2	0–0	0–0	0–0	0–1	0–0
Year End Ranking	161	145	127	33	25	55	48	47	37	112	162	94	60	49	47
