District name	Dist. ID	ISD	County	Authorizing agency	Date opened	Services
Academic and Career Education Academy	56903	Midland County ESA	Midland	Midland County ESA	05 Sep 2006	9-12, Alt, SpecEd
Academic Transitional Academy	74908	St. Clair County RESA	St. Clair	St. Clair ISD	15 Sep 2003	9-10, SpecEd
Academy for Business and Technology	82921	Wayne County RESA	Wayne	Eastern Michigan University	11 Feb 1997	KG-Part,1-12, SpecEd
Academy for Technology and Enterprise	73903	Saginaw ISD	Saginaw	Saginaw ISD	28 Aug 1995	10-12, SpecEd
Academy of Detroit-West	82909	Wayne County RESA	Wayne	Central Michigan University	25 Sep 1995	KG-Part, 1-7, SpecEd
Academy of Flint	25908	Eaton ISD	Genesee	Central Michigan University	01 Sep 1999	KG-Part,1-8, SpecEd
Academy of Inkster	82961	Wayne County RESA	Wayne	Central Michigan University	01 Sep 1999	9-12, SpecEd
Academy of Lathrup Village	63904	Oakland ISD	Oakland	Central Michigan University	25 Sep 1995	KG-Part, 1-8, SpecEd
Academy of Oak Park	63902	Oakland ISD	Oakland	Central Michigan University	25 Sep 1995	KG-Part, 1-12, SpecEd
Academy of Southfield	63903	Oakland ISD	Oakland	Central Michigan University	25 Sep 1995	KG-Part, 1-8, SpecEd
Academy of Warren	50911	Macomb ISD	Macomb	Bay Mills Community College	24 Aug 2005	KG-Part, 1-8, SpecEd
Academy of Waterford	63916	Oakland ISD	Oakland	Bay Mills Community College	18 Aug 2003	KG,1-8, SpecEd
Academy of Westland	82912	Wayne County RESA	Wayne	Central Michigan University	26 Aug 1996	KG-Part, 1-10, SpecEd
ACE Academy (SDA)	82998	Wayne County RESA	Wayne	Central Michigan University	01 Oct 2007	6-12, GenEd,Alt,SpecEd,Delinq,Negl,RCCI,JuvDtn,Loc
Advanced Technology Academy	63914	Wayne County RESA	Wayne	Lake Superior State University	01 Sep 2000	KG,1-12, GenEd,PK,SpecEd
AGBU Alex-Marie Manoogian School	63901	Oakland ISD	Oakland	Central Michigan University	28 Aug 1995	KG-Part,1-12, SpecEd
Aisha Shule/WEB Dubois Prep. Academy School	82903	Wayne County RESA	Wayne	Detroit	06 Sep 1995	KG-Part, 1-12, SpecEd
Allen Academy	82955	Wayne County RESA	Wayne	Ferris State University	01 Sep 1999	KG,1-12, SpecEd
American Montessori Academy	82981	Wayne County RESA	Wayne	Bay Mills Community College	13 Sep 2004	KG,1-6, GenEd, SchlChoice, SpecEd
Ann Arbor Learning Community	81904	Washtenaw ISD	Washtenaw	Eastern Michigan University	18 Sep 1998	KG,KG-Part,1-8, GenEd, SpecEd
Arbor Academy	13901	Calhoun ISD	Calhoun	Grand Valley State University	01 Aug 1998	KG-Part, 1-6, SpecEd
Arts Academy in the Woods	50905	Macomb ISD	Macomb	Macomb ISD	27 Aug 2001	9-12, SpecEd
Arts and Technology Academy of Pontiac	63915	Oakland ISD	Oakland	Bay Mills Community College	01 Sep 2001	KG-Part,1-8, SpecEd
Battle Creek Area Learning Center	13904	Calhoun ISD	Calhoun	Kellogg Community College	26 Aug 2002	10-12, Alt, SpecEd
Bay County PSA	9902	Bay-Arenac ISD	Bay	Bay Mills Community College	01 Sep 2001	KG,1-6, PK,SpecEd
Bay-Arenac Community High School	9901	Bay-Arenac ISD	Bay	Bay-Arenac ISD	28 Aug 1995	9-12, Alt, SpecEd
Ben Ross Public School Academy	50910	Macomb ISD	Macomb	Bay Mills Community College	09 Sep 2004	KG-Part, 1-8, SpecEd
Benton Harbor Charter School	11903	Bay-Arenac ISD	Berrien	Ferris State University	21 Aug 2000	KG-Part,1-8, PK,SpecEd
Bingham Arts Academy	4901	Alpena-Montmorency-Alcona ESD	Alpena	Bay Mills Community College	07 Sep 2004	KG,1-6, PK, SpecEd
Black River Public School	70904	Ottawa ISD	Ottawa	Grand Valley State University	26 Aug 1996	KG-Part, 1-12, SpecEd
Blanche Kelso Bruce Academy	82971	Wayne County RESA	Wayne	Wayne RESA	01 Sep 2001	5-12, Alt, SpecEd
Blue Water Learning Academy	74906	St. Clair County RESA	St. Clair	St. Clair ISD	01 Sep 2000	7-12, GenEd, SpecEd
Bradford Academy	63917	Oakland ISD	Oakland	Bay Mills Community College	28 Aug 2003	KG-Part, 1-10, SpecEd
Bridge Academy	82983	Wayne County RESA	Wayne	Ferris State University	23 Aug 2004	KG,1-8, PK,SpecEd
Burton Glen Charter Academy	25909	Eaton ISD	Genesee	Northern Michigan University	01 Sep 1999	KG,1-8, SpecEd
Business Entrepreneurship, Science, Tech. Academy	82980	Wayne County RESA	Wayne	Bay Mills Community College	17 Sep 2004	KG-Part,1-8, GenEd, SpecEd
Byron Center Charter School	41908	Kent County ISD	Kent	Grand Valley State University	26 Aug 1996	KG-Part,1-12, SpecEd
Canton Charter Academy	82968	Wayne County RESA	Wayne	Central Michigan University	01 Sep 2000	KG-Part,1-8, SpecEd
Capital Area Academy	33907	Ingham ISD	Ingham	Central Michigan University	01 Sep 1999	KG,1-8, GenEd,PK,SpecEd
Casa Richard Academy	82902	Wayne County RESA	Wayne	Wayne RESA	30 Aug 1995	9-12, SpecEd
Casman Alternative Academy	51903	Manistee ISD	Manistee	Manistee ISD	02 Sep 1997	7-12, Alt, SpecEd
Center Academy	25906	Eaton ISD	Genesee	Central Michigan University	01 Sep 1999	KG-Part, 1-8, SpecEd
Center for Literacy and Creativity	82949	Wayne County RESA	Wayne	Detroit	03 Nov 1998	KG-Part, 1-8, SpecEd
Central Academy	81902	Washtenaw ISD	Washtenaw	Central Michigan University	26 Aug 1996	KG,1-12, PK,SpecEd
Cesar Chavez Academy	82918	Wayne County RESA	Wayne	Saginaw Valley State University	03 Sep 1996	KG,1-12, GenEd, SpecEd
Chandler Park Academy	82923	Wayne County RESA	Wayne	Saginaw Valley State University	02 Jun 1997	KG,KG-Part,1-10, SpecEd
Chandler Woods Charter Academy	41920	Kent County ISD	Kent	Grand Valley State University	01 Sep 1999	KG-Part,1-8, SpecEd
Charyl Stockwell Academy	47902	Livingston ESA	Livingston	Central Michigan University	19 Aug 1996	KG-Part,1-9, GenEd,SpecEd
Chatfield School	44901	Lapeer ISD	Lapeer	Saginaw Valley State University	02 Jun 1997	KG-Part,1-8, SpecEd
Cherry Hill School of Performing Arts	82960	Wayne County RESA	Wayne	Central Michigan University	01 Sep 1999	KG-Part, 1-12, SpecEd
Clara B. Ford Academy (SDA)	82996	Wayne County RESA	Wayne	Ferris State University	06 Sep 2007	5-12, GenEd,Alt,SpecEd,Delinq,Negl,RCCI,JuvDtn
Cole Academy	33901	Ingham ISD	Ingham	Central Michigan University	28 Aug 1995	KG-Part, 1-5, SpecEd
Colin Powell Academy	82914	Wayne County RESA	Wayne	Central Michigan University	27 Aug 1996	KG-Part,1-8, GenEd,SpecEd
Commonwealth Community Devel. Academy	82919	Wayne County RESA	Wayne	Eastern Michigan University	04 Sep 1996	KG-Part, 1-8, SpecEd
Concord Academy - Petoskey	24901	Charlevoix-Emmet ISD	Emmet	Lake Superior State University	31 Mar 1995	KG,KG-Part,1-12, SpecEd
Concord Academy - Boyne	15901	Charlevoix-Emmet ISD	Charlevoix	Lake Superior State University	02 Oct 1995	KG-Part, 1-12, SpecEd
Concord Montessori and Community School	5901	Traverse Bay Area ISD	Antrim	Lake Superior State University	05 Aug 1998	KG,1-12, GenEd,SpecEd
Conner Creek Academy	50904	Macomb ISD	Macomb	Central Michigan University	01 Sep 1999	KG,1-12, BSAS, GenEd, SchlChoice, SpecEd
Conner Creek Academy East	50902	Macomb ISD	Macomb	Ferris State University	01 Sep 1999	KG,1-12, SpecEd
Countryside Academy	11901	Berrien RESA	Berrien	Central Michigan University	30 May 1997	KG,1-12, GenEd,PK,SpecEd
Covenant House Life Skills Center Central	82991	Wayne County RESA	Wayne	Detroit	10 Jan 2006	9-12, Alt,SpecEd
Covenant House Life Skills Center East	82990	Wayne County RESA	Wayne	Detroit	26 Sep 2005	9-12, Alt,SpecEd
Covenant House Life Skills Center West	82989	Wayne County RESA	Wayne	Detroit	26 Sep 2005	9-12, Alt,SpecEd
Creative Learning Academy of Science	26901	Clare-Gladwin ISD	Gladwin	Saginaw Valley State University	19 Aug 1996	KG-Part, 1-8, SpecEd
Creative Montessori Academy	82969	Wayne County RESA	Wayne	Wayne RESA	29 Jan 2001	KG-Part, 1-8, PK, SpecEd
Creative Technologies Academy	41918	Kent County ISD	Kent	Ferris State University	19 Aug 1998	KG,1-12, SpecEd
Crescent Academy	63921	Oakland ISD	Oakland	Bay Mills Community College	30 Aug 2004	KG-Part, 1-8, SpecEd
Cross Creek Charter Academy	41916	Kent County ISD	Kent	Central Michigan University	02 Sep 1997	KG-Part,1-8, SpecEd
Crossroads Charter Academy	54901	Mecosta-Osceola ISD	Mecosta	Grand Valley State University	01 Aug 1998	KG,1-12, GenEd,PK,SpecEd
Da Vinci Institute	38901	Jackson ISD	Jackson	Central Michigan University	28 Aug 1995	KG,1-12, GenEd
David Ellis Academy	82947	Wayne County RESA	Wayne	Detroit	03 Nov 1998	KG-Part,1-8, SpecEd
David Ellis Academy West	82994	Wayne County RESA	Wayne	Bay Mills Community College	05 Sep 2006	KG-Part,1-8, SpecEd
Dearborn Academy	82928	Wayne County RESA	Wayne	Central Michigan University	03 Sep 1997	KG-Part,1-8, SpecEd
Detroit Academy of Arts and Sciences	82929	Wayne County RESA	Wayne	Oakland University	02 Sep 1997	KG-Part,1-12, GenEd,Alt,SpecEd
Detroit Community Schools	82925	Wayne County RESA	Wayne	Saginaw Valley State University	02 Jun 1997	KG-Part,1-12, SpecEd
Detroit Enterprise Academy	82979	Wayne County RESA	Wayne	Grand Valley State University	24 Aug 2004	KG,1-8, SpecEd
Detroit Merit Charter Academy	82974	Wayne County RESA	Wayne	Grand Valley State University	10 Oct 2002	KG,1-8, SpecEd
Detroit Midtown Academy	82964	Wayne County RESA	Wayne	Wayne RESA	13 Jan 2000	7-12, SpecEd
Detroit Premier Academy	82985	Wayne County RESA	Wayne	Grand Valley State University	31 Aug 2005	KG,1-8, SpecEd
Detroit Service Learning Academy	82953	Wayne County RESA	Wayne	Lake Superior State University	01 Sep 1999	KG,1-8, SpecEd
