LT Nos	Year	Bldr	Type	Notes
2700–2705	1927	MCW&F	M	"W"
2706–2711	1927	MCW&F	M	"MV"
2712–2741	1930	BRC&W	M	"W","VT"
2742–2759	1932	BRC&W	M	"MW"
9812,9818	1920	MCW&F	1T	converted by LT
9820-9821	1920	MCW&F	1T	converted by LT
9716-9718	1920	MCW&F	1T	"MV"; converted from steam stock, 1927
9773	1920	MCW&F	3T	"MV"; converted from steam stock, 1927
6706-6711	1920	MCW&F	DT	"MV"
6743,6746	1920	MCW&F	DT	converted by LT
9800-9802	1920	MCW&F	3T	converted by LT
9774-9775	1920	MCW&F	3T	"MV"; converted from steam stock, 1927
9842	1923	MCW&F	3T	converted by LT
9719-9721	1923	MCW&F	1T	"MV"; converted from steam stock, 1927
9722-9731	1930	BRC&W	1T	"MW"
9776-9780	1930	BRC&W	3T	"MW"
6712-6721	1930	BRC&W	DT	"MW"
6722-6735	1932	BRC&W	DT	"MW"
9781-9799	1932	BRC&W	3T	"MW"
9732-9745	1932	BRC&W	1T	"MW"
