Date	Tournament	Surface	Opponent in the final	Score
13 June 2004	Alcobaça	Hard	Lucía Jiménez	7–5, 5–7, 6–1
24 October 2004	Évora	Hard	Laura Zelder	6–2, 2–6, RET
26 June 2006	Alcobaça	Hard	Xinyun Han	6–3, 2–6, 7–5
27 August 2006	Vlaardingen	Clay	Pauline Wong	6–1, 6–2
17 September 2006	Lleida	Clay	Paula Fondevila Castro	5–7, 6–2, 7–6 (7–2)
25 February 2007	Portimão	Hard	Irena Pavlovic	7–6 (7–2) , 6–4
2 June 2007	Braga	Clay	Stéphanie Vongsouthi	6–1, 6–4
30 July 2007	La Coruña	Hard	Marina Erakovic	0–6, 7–5, 6–3
27 January 2008	Kaarst	Carpet	Renee Reinhard	6–3, 6–1
13 July 2008	Felixstowe	Grass	Sarah Borwell	6–3, 6–2
3 August 2008	Vigo	Hard	Silvia Soler Espinosa	6–3, 6–1
12 July 2009	La Coruña	Hard	Vesna Manasieva	6–3, 6–1
