Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
Jun 28	3-0	25-21	25-22	25-18	NA	NA	75 - 61
Jun 28	3-0	25-17	25-19	25-23	NA	NA	75 - 59
Jun 29	3-1	19-25	25-20	25-22	25-18	NA	94 - 85
Jun 30	3-1	20-25	25-22	25-22	26-24	NA	96 - 93
Jun 5	3-0	25-19	25-22	25-19	NA	NA	75 - 60
Jun 6	0-3	35-37	20-25	18-25	NA	NA	73 - 87
Jun 7	1-3	16-25	22-25	25-23	21-25	NA	84 - 98
Jun 7	2-3	19-25	25-23	24-26	25-20	14-16	107 - 110
Jun 12	2-3	27-29	25-22	20-25	25-21	13-15	110 - 112
Jun 13	3-0	25-13	25-17	25-20	NA	NA	75 - 50
Jun 14	3-0	25-20	25-15	25-20	NA	NA	75 - 55
Jun 14	3-0	25-12	25-21	25-23	NA	NA	75 - 56
Jun 19	3-2	22-25	25-21	26-28	25-14	15-07	113 - 95
Jun 20	3-1	25-14	27-29	25-18	25-23	NA	102 - 84
Jun 21	0-3	17-25	22-25	27-29	NA	NA	66 - 79
Jun 22	2-3	25-19	23-25	19-25	25-18	14-16	106 - 103
Jun 26	1-3	20-25	17-25	25-17	24-26	NA	86 - 93
Jun 27	2-3	25-23	21-25	23-25	27-25	10-15	106 - 113
Jun 27	3-0	25-21	25-21	25-23	NA	NA	75 - 65
Jun 28	0-3	17-25	22-25	28-30	NA	NA	67 - 80
Jun 2	2-3	25-20	23-25	21-25	25-19	11-15	105 - 104
Jun 3	1-3	22-25	25-23	23-25	16-25	NA	86 - 98
Jun 4	3-1	19-25	25-21	25-23	25-22	NA	94 - 91
Jun 4	3-1	19-25	29-27	25-22	25-18	NA	98 - 92
