Season	Episode	Episode Summary	Premier date	External Link	Coach
8	7	Ashley and Jessica are made into motocross racers.	October 7, 2007	Full Episode	Ryan Hughes
8	8	Stephanie, a party girl, is made into a brainiac .	November 18, 2007	Full Episode	Rob Masek
8	10	Chris is made from geek to chic.	November 18, 2007	Full Episode	John Battaglia
8	11	Kevin is made into a triathlete .	November 18, 2007	Full Episode	Shaun Brady
8	12	Whitley is made into a boxer.	January 7, 2008	Full Episode	Maureen Shea
8	13	Colin is made into a rapper.	January 12, 2008	Full Episode	Talib Kweli
8	14	Jessica is made into a figure skater.	January 12, 2008	Full Episode	Elizabeth Reed
8	15	Bryce is made into a ballroom dancer.	January 12, 2008	Full Episode	Phillip
8	16	Erick is made into a soap star.	January 12, 2008	Full Episode	Jacob Young
8	17	Sarah is made into a ballerina.	January 12, 2008	Full Episode	Robert Sher-Machherndl
8	18	Samantha is made into an ice hockey player.	February 1, 2008	Full Episode	Carisa Zaban
8	19	Tara is made into a snowboarder.	February 2, 2008	Full Episode	Jesse Csincsak
8	20	Kelly is made into a pageant queen.	February 16, 2008	Full Episode	Jacqueline Bradley
8	21	Hallie is made into a hip hop dancer.	February 16, 2008	Full Episode	Cici Kelley
8	22	Aja is made into a debater .	February 16, 2008	Full Episode	Jeff Yalden
8	23	Chris is made into a professional wrestler.	March 8, 2008	Full Episode	Motor City Machineguns
8	24	Andrew is made into a rocker.	April 12, 2008	Full Episode	Sammy James, Jr .
