Draw	Language	Artist	Song	English translation	Place	Points
01	Spanish	Conchita Bautista	" Estando contigo "	When I'm with you	9	8
02	French	Colette Deréal	" Allons, allons les enfants "	Come on, come on children	10	6
03	German	Jimmy Makulis	" Sehnsucht "	Longing	15	1
04	Finnish	Laila Kinnunen	" Valoa ikkunassa "	The lights in the window	10	6
05	Serbian	Ljiljana Petrović	" Neke davne zvezde " (Неке давне звезде)	Some ancient stars	8	9
06	Dutch	Greetje Kauffeld	" Wat een dag "	What a day	10	6
07	Swedish	Lill-Babs	" April, April "	–	14	2
08	German , French	Lale Andersen	" Einmal sehen wir uns wieder "	We will meet again	13	3
09	French	Jean-Paul Mauric	" Printemps, avril carillonne "	Spring, April rings	4	13
10	French	Franca di Rienzo	" Nous aurons demain "	We'll have tomorrow	3	16
11	Dutch	Bob Benny	" September, gouden roos "	September, golden rose	15	1
12	Norwegian	Nora Brockstedt	" Sommer i Palma "	Summer in Palma	7	10
13	Danish	Dario Campeotto	" Angelique "	–	5	12
14	French	Jean-Claude Pascal	" Nous les amoureux "	We the lovers	1	31
15	English	The Allisons	" Are You Sure? "	–	2	24
16	Italian	Betty Curtis	" Al di là "	Beyond	5	12
