Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	11-5-1	Marloes Coenen	KO (punch)	Smackgirl 2005: Cool Fighter Last Stand	2	0:50	Numazu , Japan
Loss	11-4-1	Amanda Buckner	Submission (kneebar)	Smackgirl 2004: Yuuki Kondo Retirement Celebration	2	0:41	Tokyo , Japan
Win	11-3-1	Sarah Boyd	Submission (keylock)	Smackgirl 2004: Go West	3	3:35	Osaka , Japan
Win	10-3-1	Fatiha Abalhaja	Submission (armbar)	Smackgirl: Third Season III	3	3:28	Tokyo , Japan
Win	9-3-1	Mayra Conde	Submission (armbar)	Smackgirl: Third Season I	1	2:20	Tokyo , Japan
Win	8-3-1	Keiko Tamai	Decision (3-0)	Smackgirl: Japan Cup 2002 Grand Final	3	5:00	Tokyo , Japan
Loss	7-3-1	Angela Reestad	Submission (armbar)	Ax Vol. 4	1	2:18	Tokyo , Japan
Win	7-2-1	Yuki Morimatsu	Submission (armbar)	Ax Vol. 3	1	1:23	Tokyo , Japan
Draw	6-2-1	Yoko Takahashi	Draw	Zero-One: True Century Creation '02	3	3:00	Tokyo , Japan
Win	6-2-0	Hiromi Kanai	Submission (armbar)	Smackgirl: Pioneering Spirit	1	0:34	Tokyo , Japan
Loss	5-2-0	Ikuma Hoshino	Decision (0-3)	Ax Vol. 1: we do the justice	3	5:00	Tokyo , Japan
Win	5-1-0	Mika Harigai	Submission (armbar)	Smackgirl: Alive!	1	1:34	Tokyo , Japan
Win	4-1-0	Megumi Sato	Submission (armbar)	Smackgirl: Burning Night	1	0:44	Tokyo , Japan
Win	3-1-0	Aya Koyama	Decision (3-0)	Smackgirl: Fighting Chance	3	5:00	Tokyo , Japan
Win	2-1-0	Mika Harigai	Submission (armbar)	Smackgirl: Starting Over	1	0:49	Tokyo , Japan
Win	1-1-0	Yuta Dum	TKO (ankle injury)	ReMix Golden Gate 2001	1	5:00	Tokyo , Japan
Loss	0-1-0	Marloes Coenen	Submission (armbar)	LLPW: L-1 2000 The Strongest Lady	1	2:37	Tokyo , Japan
