Actor	Character	Soap Opera	Years	Duration
Jukka Puotila	Pertti Mäkimaa	Kotikatu	1995–2012	17 years
Ville Keskilä	Teemu Luotola	Kotikatu	1995–2012	17 years
Lena Meriläinen	Eeva Virtanen	Kotikatu	1995–2012	17 years
Anitta Niemi	Karin Luotola	Kotikatu	1995–2012	17 years
Misa Nirhamo	Janne Mäkimaa	Kotikatu	1995–2012	17 years
Tiina Rinne	Maija Mäkimaa	Kotikatu	1995–2012	17 years
Pirjo Moilanen	Laura Mäkimaa	Kotikatu	1995–2012	17 years
Jarmo Koski	Seppo Taalasmaa	Salatut elämät	1999–2013	14 years
Esko Kovero	Ismo Laitela	Salatut elämät	1999—	15 years
Aake Kalliala	Mauri Alho	Kotikatu	1998–2012	14 years
Petteri Jamalainen	Hessu Pennanen	Kotikatu	1996–2009	13 years
Anu Palevaara	Jenni Vainio	Salatut elämät	1999–2001, 2002–2011, 2012–2013	12 years
Risto Autio	Hannes Luotola	Kotikatu	1995–2006, 2007, 2012	11 years
Sulevi Peltola	Onni Partanen	Kotikatu	1999–2009, 2011-2012	11 years
Eeva Litmanen	Anja Partanen	Kotikatu	1999–2010	11 years
Laura Malmivaara	Tuija Kangasharju	Kotikatu	2002–2012	10 years
