Series #	Title	Director	Writer	Air Date	Production Code
1	"Laura 2008"	Shawn Seet	Leah Purcell	December4,2009	101
2	"Mohammed 1998"	Shawn Seet	Brendan Cowell	December7,2009	102
3	"Lily 1988"	Shawn Seet	Greg Waters	December8,2009	103
4	"Mike 1978"	Michael James Rowland	Nicholas Parsons	December9,2009	104
5	"Sofia 1968"	Michael James Rowland	Nicholas Parsons	December10,2009	105
6	"Michaelis 1958"	Michael James Rowland	Tim Pye	December11,2009	106
7	"Jen 1948"	Catriona McKenzie	Alice Addison	December14,2009	107
8	"Colum 1938"	Catriona McKenzie	Greg Waters	December15,2009	108
9	"Bridie 1928"	Samantha Lang	Gina Roncoli	December16,2009	109
10	"Bertie 1918"	Samantha Lang	Nicolas Parsons	December17,2009	110
11	"Evelyn 1908"	Jessica Hobbs	Blake Ayshford	December18,2009	111
12	"Rowley 1898"	Jessica Hobbs	Tim Pye	December21,2009	112
