Rank	Main span metres	Main span feet	Year opened	Country
1	1,991	6,532	1998	Japan
2	1,650	5,413	2009	China
3	1,624	5,328	1998	Denmark
4	1,545	5,069	2012	South Korea
5	1,490	4,888	2005	China
6	1,418	4,652	2012	China
7	1,410	4,626	1981	United Kingdom
8	1,385	4,544	1999	China
9	1,377	4,518	1997	Hong Kong
10	1,310	4,298	2013	Norway
11	1,298	4,260	1964	United States
12	1,280	4,200	1937	United States
13	1,280	4,199	2007	China
14	1,210	3,970	1997	Sweden
15	1,176	3,858	2012	China
16	1,158	3,799	1957	United States
17	1,108	3,635	2008	China
18	1,100	3,609	1989	Japan
19	1,090	3,576	1988	Turkey
20	1,088	3,570	2009	China
21	1,080 (x2)	3,543 (x2)	2012	China
22	1,074	3,524	1973	Turkey
23	1,067	3,501	1931	United States
24	1,030	3,379	1999	Japan
25	1,020	3,346	1999	Japan
26	1,013	3,323	1966	Portugal
27	1,006	3,301	1964	United Kingdom
28	990	3,248	1988	Japan
29	988	3,241	1966	United Kingdom
30	960	3,150	2001	China
31	940	3,084	1988	Japan
32	900	2,953	1996	China
33	900	2,953	2009	China
34	888	2,913	1997	China
35	876	2,874	1985	Japan
36	853	2,799	1950	United States
37	853	2,799	2007	United States
38	850	2,789	1992	Norway
39	820	2,690	2012	China
40	770	2,526	1983	Japan
41	750	2,461	2000	Japan
42	750	2,461	2000	Kazakhstan
43	728	2,388	2003	United States
44	720	2,362	1998	Japan
45	712	2,336	1967	Venezuela
46	712	2,336	1973	Japan
47	704	2,310	1936	United States
48	704	2,310	1936	United States
49	701	2,300	1939	United States
50	677	2,221	2001	Norway
51	668	2,192	1969	Canada
52	656	2,152	1968	United States
53	656	2152	1951	United States
54	648	2,126	1999	China
55	636	2,087	2009	China
56	623	2,044	1992	Norway
57	616	2,021	2009	China
58	610	2,001	1957	United States
59	608	1,995	1959	France
60	600	1,969	1970	Denmark
61	600	1,969	1999	Japan
62	600	1,969	2000	China
63	595	1,952	1997	Norway
64	580	1,903	2003	China
65	577	1,893	2001	Norway
66	570	1,870	1993	Japan
67	564	1,850	1929	United States Canada
68	560	1,837	1988	Japan
69	560	1,837	2001	China
70	549	1,801	1961	United States
71	540	1,772	2008	Japan
72	534	1,752	1926	United States
73	525	1,722	1972	Norway
74	525	1,722	1977	Norway
75	520	1,706	1983	Democratic Republic of the Congo
76	500	1,640	1965	Germany
77	500	1,640	2002	South Korea
78	497	1,631	1924	United States
79	488	1,601	1903	United States
80	488	1,601	1969	United States
81	488	1,601	1952	United States
82	488	1,601	1973	United States
83	486	1,594	1883	United States
84	473	1,552	1938	Canada
85	468	1,535	1971	Norway
86	465	1,526	1977	Japan
87	457	1,499	1930	United States
88	457	1,499	1963	United States
89	452	1,483	1995	China
90	450	1,476	1997	China
91	448	1,470	1909	United States
92	446	1,463	1997	Norway
93	441	1,447	1955	Canada
94	430	1,411	2012	China
95	427	1,401	1970	Canada
96	421	1,381	1936	United States
97	417	1,368	1966	Sweden
98	408	1339	2010	China
99	405	1,329	2009	Vietnam
100	404	1,325	1973	South Korea
101	394	1,293	1967	France
102	390	1,280	1964	Uzbekistan
103	385	1,263	2013	United States
104	378	1,240	1954	Germany
105	368	1,207	1931	United States
106	367	1,204	1962	Japan
107	366	1,200	1929	United States
108	351	1,151	1960	United States Canada
109	350	1,148	2006	China
110	340	1,115	1926	Brazil
111	338	1,109	2001	China
112	338	1,108	1965	United States
113	337	1,106	1956	Norway
114	335	1,100	1961	United Kingdom
115	335	1,100	2006	Norway
116	329	1,088	1939	United States
117	328	1,085	1939	Zambia Zimbabwe
118	325	1,066	1964	Norway
119	325	1,066	1981	Norway
120	323	1,060	1932	United States
121	323	1,059	1936	Canada
122	322	1,057	1867	United States
123	320	1,050	1971	United States
124	320	1,050	2011	Peru
125	315	1,033	1951	Germany
126	308	1,010	1849	United States
127	300	985	1961	Canada
128	300	984	1987	Japan
129	300	984	2000	France
130	300	984	2000	South Korea
