Year	Winning team	Losing team	Score	Site
1951	Rochester Royals	New York Knicks	79–75	Edgerton Park Arena , Rochester, New York
1952	Minneapolis Lakers	New York Knicks	82–65	Minneapolis Auditorium , Minneapolis, Minnesota
1954	Minneapolis Lakers	Syracuse Nationals	87–70	Minneapolis Auditorium , Minneapolis, Minnesota
1955	Syracuse Nationals	Fort Wayne Pistons	92–91	Onandoga War Memorial , Syracuse, New York
1957	Boston Celtics	St. Louis Hawks	125–123 ( OT )	Boston Garden , Boston, Massachusetts
1960	Boston Celtics	St. Louis Hawks	122–103	Boston Garden , Boston, Massachusetts
1962	Boston Celtics	Los Angeles Lakers	110-107 (OT)	Boston Garden , Boston, Massachusetts
1966	Boston Celtics	Los Angeles Lakers	95–93	Boston Garden , Boston, Massachusetts
1969	Boston Celtics	Los Angeles Lakers	108–106	The Forum , Inglewood, California
1970	New York Knicks	Los Angeles Lakers	113–99	Madison Square Garden , New York City , New York
1974	Boston Celtics	Milwaukee Bucks	102–87	MECCA Arena , Milwaukee, Wisconsin
1978	Washington Bullets	Seattle SuperSonics	105–99	Kingdome , Seattle, Washington
1984	Boston Celtics	Los Angeles Lakers	111–102	Boston Garden , Boston, Massachusetts
1988	Los Angeles Lakers	Detroit Pistons	108–105	The Forum , Inglewood, California
1994	Houston Rockets	New York Knicks	90–84	The Summit , Houston, Texas
2005	San Antonio Spurs	Detroit Pistons	81–74	SBC Center , San Antonio, Texas
2010	Los Angeles Lakers	Boston Celtics	83–79	Staples Center , Los Angeles, California
2013	Miami Heat	San Antonio Spurs	95–88	American Airlines Arena , Miami, Florida
