Driver	Car #	Make	Points	Laps	Winnings
Jimmie Johnson	48	Chevrolet	190	500	$198,736
Jeff Gordon	24	Chevrolet	175	500	$153,861
Denny Hamlin	11	Chevrolet	170	500	$139,125
Kyle Busch	5	Chevrolet	165	500	$105,375
Dale Earnhardt Jr.	8	Chevrolet	165	500	$141,833
Jeff Burton	31	Chevrolet	150	500	$119,316
Tony Stewart	20	Chevrolet	151	500	$124,486
Scott Riggs	10	Dodge	142	500	$89,275
Jamie McMurray	26	Ford	138	500	$88,525
Matt Kenseth	17	Ford	139	500	$130,266
Clint Bowyer	7	Chevrolet	130	500	$84,325
Kurt Busch	2	Dodge	127	500	$114,858
Ricky Rudd	88	Ford	124	500	$107,383
Ryan Newman	12	Dodge	121	500	$107,175
David Ragan *	6	Ford	118	500	$113,250
Juan Montoya *	42	Dodge	115	500	$109,850
Carl Edwards	99	Ford	112	500	$82,050
Reed Sorenson	41	Dodge	109	500	$100,083
Ken Schrader	21	Ford	106	500	$95,239
Tony Raines	96	Chevrolet	103	500	$84,550
Sterling Marlin	14	Chevrolet	100	500	$88,558
Kyle Petty	45	Dodge	97	499	$86,258
J.J. Yeley	18	Chevrolet	94	499	$100,958
Elliott Sadler	19	Dodge	96	498	$89,845
Kasey Kahne	9	Dodge	88	498	$115,366
Regan Smith	01	Chevrolet	85	498	$91,083
Joe Nemechek	13	Chevrolet	82	497	$67,700
Dale Jarrett	44	Toyota	79	496	$67,500
Martin Truex Jr.	1	Chevrolet	81	496	$96,670
Mike Bliss	49	Dodge	73	493	$79,747
Johnny Sauter	70	Chevrolet	70	493	$67,050
Greg Biffle	16	Ford	67	492	$84,925
David Reutimann *	00	Toyota	64	491	$67,650
Robby Gordon	7	Ford	61	490	$66,575
David Stremme	40	Dodge	58	490	$66,525
Jeff Green	66	Chevrolet	55	487	$74,475
Dave Blaney	22	Toyota	52	485	$74,400
A.J. Allmendinger *	84	Toyota	49	483	$66,350
David Gilliland	38	Ford	46	469	$93,514
Jeremy Mayfield	36	Toyota	43	451	$66,225
Kevin Harvick	29	Chevrolet	40	445	$114,911
Casey Mears	25	Chevrolet	37	371	$74,115
Bobby Labonte	43	Dodge	34	265	$102,409
