Date	Course	Distance	Type	Winner
15 May	Agrigento to Modica	km (mi)	Flat stage	Ivan Quaranta ( ITA )
16 May	Noto to Catania	km (mi)	Flat stage	Mario Cipollini ( ITA )
17 May	Catania to Messina	km (mi)	Flat stage	Jeroen Blijlevens ( NED )
18 May	Vibo Valentia to Terme Luigiane	km (mi)	Medium mountain stage	Laurent Jalabert ( FRA )
19 May	Terme Luigiane to Massiccio del Sirino	km (mi)	Medium mountain stage	José Jaime González ( COL )
20 May	Lauria to Foggia	km (mi)	Flat stage	Romāns Vainšteins ( LAT )
21 May	Foggia to Lanciano	km (mi)	Flat stage	Jeroen Blijlevens ( NED )
22 May	Pescara to Gran Sasso d'Italia	km (mi)	Mountain stage	Marco Pantani ( ITA )
23 May	Ancona to Ancona	km (mi)	Individual time trial	Laurent Jalabert ( FRA )
24 May	Ancona to Sansepolcro	km (mi)	Medium mountain stage	Mario Cipollini ( ITA )
25 May	Sansepolcro to Cesenatico	km (mi)	Flat stage	Ivan Quaranta ( ITA )
26 May	Cesenatico to Sassuolo	km (mi)	Flat stage	Mario Cipollini ( ITA )
27 May	Sassuolo to Rapallo	km (mi)	Medium mountain stage	Richard Virenque ( FRA )
28 May	Rest day	Rest day	Rest day	Rest day
29 May	Bra to Borgo San Dalmazzo	km (mi)	Mountain stage	Paolo Savoldelli ( ITA )
30 May	Racconigi to Santuario di Oropa	km (mi)	Mountain stage	Marco Pantani ( ITA )
31 May	Biella to Lumezzane	km (mi)	Flat stage	Laurent Jalabert ( FRA )
1 June	Lumezzane to Castelfranco Veneto	km (mi)	Flat stage	Mario Cipollini ( ITA )
2 June	Treviso to Treviso	km (mi)	Individual time trial	Serhiy Honchar ( UKR )
3 June	Castelfranco Veneto to Alpe di Pampeago	km (mi)	Mountain stage	Marco Pantani ( ITA )
4 June	Predazzo to Madonna di Campiglio	km (mi)	Mountain stage	Marco Pantani ( ITA )
5 June	Madonna di Campiglio to Aprica	km (mi)	Mountain stage	Roberto Heras ( ESP )
6 June	Darfo Boario Terme to Milan	km (mi)	Flat stage	Fabrizio Guidi ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
