Class	Team	Drivers	Laps	Qual Pos
D	Gown - Hindhaugh	Peter Brock Brian Sampson	163	3
D	Ron Hodgson Motors	Bob Morris Frank Gardner	161	4
D	Marlboro Holden Dealer Team	Colin Bond Johnnie Walker	154	1
D	Max Wright Motors Pty Ltd	Bob Skelton Ron Dickson	152	5
C	Penrith Mazda Centre Pty Ltd	Don Holland Hiroshi Fushida	151	19
B	Alfa Romeo Dealers Australia	Marie-Claude Beaumont John Leffler	150	29
B	Fischer Ford Racing	John Bassett Eric Boord	149	20
D	R Coppins	Rod Coppins Jim Richards	147	8
D	Tokico	John Pollard Bryan Thomson	147	14
B	Ron Hodgson Motors	James Laing-Peach Graham Moore	145	33
B	Jubilee Motors Five Dock Pty Ltd	Bill Brown Sue Ransom	144	34
B	B S Stillwell Ford & Co Pty Ltd	Mike Stillwell Geoff Brabham	141	27
B	De Bortolis Wines Pty Ltd	Bruce Hodgson Dave Morrow	140	37
A	Orange City Motors	Peter Lander Bob Martin	140	45
A	Datsun Racing Team	Bill Evans Bruce Stewart	139	48
C	Rotary Rebuild	Ray Harrison Craig Bradtke	139	18
C	B Benson	Barry Seton Don Smith	138	17
A	Mini Bits	Terry Wade John Dellaca	136	52
B	R Gulson	Ray Gulson Paul Gulson	135	30
D	Bob Forbes Automotive	Bob Forbes Wayne Negus	135	9
B	Eurocars Pty Ltd	David Clement Brian Wheeler	135	39
A	Fred's Treads Pty Ltd	David Crowther Gordon Rich	135	56
C	G Moran	Geoff Moran Eugene McLaoughlin	134	50
A	James Mason Motors Pty Ltd	Brian Porter John Ainsley	132	59
D	K Kennedy	Kevin Kennedy Steve Land	130	62
C	J Wharton	John Wharton Kerry Horgan	129	41
A	Orange City Motors	Caroline O'Shanesy David Booth	128	57
A	Alfa Romeo Owners Club of Aust.	Robin Dudfield Lance DeLuca	128	55
A	I Wells	Ian Wells Neil West	127	51
A	Peter Mac's Towing Service Pty Ltd	Geoff Wade Robert Bride	125	60
B	W D Electrics	Warren Thompson Rod Morris	119	36
B	Clemens Sporting Car Services Pty Ltd	Mal Robertson Frank Porter	119	28
C	Mazda House Racing Team	Lakis Manticas Mel Mollison	116	22
B	G Morrell	George Morrell Alan Cant	113	38
D	Massey Holden	Peter Janson John Harvey	143	12
B	Alfa Romeo Dealers Australia	Tim Schenken Paul Bernasconi	140	24
D	American Express International Inc	Graeme Adams Bob Stevens	118	61
A	Ray Molloy Motors Preston	Ray Molloy Alan Brazell	118	54
D	J Stoopman	John Stoopman Stuart Saker	113	16
D	Allan Moffat Racing	Allan Moffat Ian Geoghegan	109	2
C	West End Mazda	Bernie Haehnle Terry Finnigan	97	21
A	M McGinley	Max McGinley Paul King	92	53
B	BMW Dealers NSW	Peter Williamson John McDonald	89	23
D	T Slako	Tim Slako Tony Wilkinson	87	15
A	Orange City Motors	Gary Leggatt David Seldon	83	44
B	Brian Wood Ford	Jim Murcott Rod Stevens	82	31
A	Lordco (Aust) Pty Ltd	John Lord John Harris	75	46
D	Dusting of Burwood	Rod McRae Russ McRae	67	13
C	Mazda Dealers Victoria	Nick Louis Ted Brewster	64	32
A	C Heyer	Chris Heyer Barry Allen	57	49
D	M Carter	Murray Carter Ray Winter	53	7
A	Fred Williams Car Sales Pty Ltd	Richard Stiegler Greg Toepfer	46	58
D	Craven Mild Racing	Allan Grice Jim Hunter	41	6
C	G Newton	Geoff Newton Paul Feltham	41	43
C	Hobson White Motors Pty Ltd	Tom Naughton Ross Wemyss	23	47
D	C O'Brien	Charlie O'Brien Graham Ryan	22	11
C	HM Headers	Lawrie Nelson Bob Watson	16	35
B	Alfa Romeo Dealers Australia	John Fitzpatrick Fred Gibson	12	26
D	John Goss Racing Pty Ltd	John Goss Kevin Bartlett	10	10
B	Bob Holden - Shell Racing	Bob Holden Lyndon Arnel	3	40
C	Datsun Racing Team	Doug Whiteford Geoff Perry	3	42
C	James Mason Motors Pty Ltd	Lynn Brown Ron Gillard	149	25
