Rank	Name	Nation	Points	Places
1	Natalia Linichuk / Gennadi Karponosov	Soviet Union	207.86	9
2	Krisztina Regőczy / András Sallay	Hungary	204.10	22
3	Irina Moiseeva / Andrei Minenkov	Soviet Union	203.74	23
4	Liliana Rehakova / Stanislav Drastich	Czechoslovakia	196.94	36
5	Janet Thompson / Warren Maxwell	United Kingdom	194.00	51
6	Lorna Wighton / John Dowding	Canada	192.70	52
7	Susi Handschmann / Peter Handschmann	Austria	188.72	65
8	Jayne Torvill / Christopher Dean	United Kingdom	187.84	71
9	Stacey Smith / John Summers	United States	185.70	81
10	Natalia Bestemianova / Andrei Bukin	Soviet Union	184.06	87
11	Carol Fox / Richard Dalley	United States	180.30	98
12	Henriette Fröschl / Christian Steiner	West Germany	175.50	108
13	Karen Barber / Nicky Slater	United Kingdom	169.74	121
14	Anna Pisanská / Jiri Musil	Czechoslovakia	168.70	124
15	Patricia Fletcher / Michael de la Penotiere	Canada	165.24	134
16	Martine Olivier / Yves Tarayre	France	161.44	145
17	Jindra Hola / Karol Foltan	Czechoslovakia	157.64	157
18	Gabriella Remport / Sándor Nagy	Hungary	158.26	157
19	Yumiko Kage / Tadayuki Takahashi	Japan	153.30	175*
20	Claudia Koch / Peter Schübl	Austria	151.94	174
