Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Tyrrell - Ford	80	1:43:17.1	5
Peter Revson	McLaren - Ford	80	+ 48.2	1
Denny Hulme	McLaren - Ford	80	+ 54.6	2
Carlos Reutemann	Brabham - Ford	80	+ 1:00.7	9
Clay Regazzoni	Ferrari	80	+ 1:07.0	7
Chris Amon	Matra	79	+ 1 Lap	10
Tim Schenken	Surtees - Ford	79	+ 1 Lap	13
Graham Hill	Brabham - Ford	79	+ 1 Lap	17
Carlos Pace	March - Ford	78	Out of Fuel	18
Howden Ganley	BRM	78	+ 2 Laps	14
Emerson Fittipaldi	Lotus - Ford	78	+ 2 Laps	4
Jacky Ickx	Ferrari	76	+ 4 laps	8
Henri Pescarolo	March - Ford	73	+ 7 Laps	21
Reine Wisell	Lotus - Ford	65	Engine	16
Niki Lauda	March - Ford	64	Received outside assistance	19
Ronnie Peterson	March - Ford	61	Push-start after collision	3
Mike Beuttler	March - Ford	59	Not Classified	24
François Cevert	Tyrrell - Ford	51	Gearbox	6
Peter Gethin	BRM	25	Suspension	12
Skip Barber	March - Ford	24	Not Classified	22
Jean-Pierre Beltoise	BRM	21	Oil Leak	20
Bill Brack	BRM	20	Spun Off	23
Wilson Fittipaldi	Brabham - Ford	5	Gearbox	11
Andrea de Adamich	Surtees - Ford	2	Gearbox	15
