Player	Height	Position	Year born	Current Club
Uvis Helmanis	2.03	Forward	1972	BK Ventspils
Aigars Vītols	1.94	Guard	1976	BK Ventspils
Armands Šķēle	1.92	Guard	1983	Barons Riga
Jānis Blūms	1.88	Guard	1982	Basket Napoli
Raimonds Vaikulis	1.91	Guard	1980	Barons Riga
Gatis Jahovičs	2.00	Forward	1984	ASK Rīga
Sandis Valters	1.90	Guard	1978	ASK Rīga
Pāvels Veselovs	2.07	Forward	1984	BK Ventspils
Kaspars Cipruss	2.11	Center	1982	BK Ventspils
Raitis Grafs	2.10	Center	1981	ASK Rīga
Kristaps Janičenoks	1.96	Forward	1983	Fortitudo Bologna
Andris Biedriņš	2.11	Center	1986	Golden State Warriors
