Place	Player	Country	Score	To par	Money ( £ )
T1	Paul Lawrie	Scotland	73-74-76-67=290	+6	Playoff
T1	Justin Leonard	United States	73-74-71-72=290	+6	Playoff
T1	Jean van de Velde	France	75-68-70-77=290	+6	Playoff
T4	Ángel Cabrera	Argentina	75-69-77-70=291	+7	100,000
T4	Craig Parry	Australia	76-75-67-73=291	+7	100,000
6	Greg Norman	Australia	76-70-75-72=293	+9	70,000
T7	David Frost	South Africa	80-69-71-74=294	+10	50,000
T7	Tiger Woods	United States	74-72-74-74=294	+10	50,000
T7	Davis Love III	United States	74-74-77-69=294	+10	50,000
T10	Hal Sutton	United States	73-78-72-72=295	+11	34,800
T10	Scott Dunlap	United States	72-77-76-70=295	+11	34,800
T10	Jim Furyk	United States	78-71-76-70=295	+11	34,800
T10	Retief Goosen	South Africa	76-75-73-71=295	+11	34,800
T10	Jesper Parnevik	Sweden	74-71-78-72=295	+11	34,800
