Rank	Name	Status	City	Floors
1	Lodha Project Wadala	Proposed	Wadala	101
2	Joyus Housing	Proposed	Girgaon	125
3	Raheja Imperia	Proposed	Worli	85
4	The Imperial 3	Approved	Tardeo	116
5	Shreepati Garden Tower 1	Approved	Parel	110
6	Shreepati Garden Tower 2	Approved	Parel	110
7	Celestia Spaces 1	Proposed	Sewri	80
8	Celestia Spaces 2	Proposed	Sewri	80
9	Celestia Spaces 3	Proposed	Sewri	80
10	Celestia Spaces 4	Proposed	Sewri	80
11	Celestia Spaces 5	Proposed	Sewri	80
12	Celestia Spaces 6	Proposed	Sewri	80
13	Celestia Spaces 7	Proposed	Sewri	80
14	Celestia Spaces 8	Proposed	Sewri	80
15	Four Seasons Hotel Tower 2	Proposed	Worli	71
16	Matru Mandir	Proposed	Tardeo	100
17	India International Trade Center	Proposed	Nariman Point	72
18	Shreepati Skies	Approved	Tardeo	88
19	Sky link Tower 1	Approved	Worli	85
19	Sky link Tower 2	Approved	Worli	85
19	Waves	Proposed	Worli	80
20	Indra Tower	Proposed	Dadar	80
21	Twisting Horizons	Proposed	Worli	70
22	Hubtown Realms	Approved	Gamdevi	60
23	Oberoi Skyz Tower 1	Proposed	Worli	65
24	Oberoi Skyz Tower 2	Proposed	Worli	65
25	Marina Apartments 1	Approved	Dadar	62
26	Hubtown Bay 1	Approved	Worli	55
27	Hubtown Bay 2	Approved	Worli	55
28	Hubtown Bay 3	Approved	Worli	55
29	Marina Apartments 2	Approved	Dadar	42
30	Shreepati Estate	Approved	Lower Parel	82
31	Ariana	Approved	Parel	75
32	Trident Tower 1	Proposed	Parel	69
33	Shreepati Garden Tower 3	Approved	Parel	68
34	Shreepati Garden Tower 4	Approved	Parel	68
35	Crescent Bay Tower 1	Approved	Parel	64
36	Bhendi Bazar Redevelopment Tower 1	Approved	Bhendi Bazaar	62
37	Trident Tower 2	Proposed	Parel	61
38	Crescent Bay Tower 2	Approved	Parel	57
39	Bhendi Bazar Redevelopment Tower 2	Approved	Bhendi Bazaar	56
40	Bhendi Bazar Redevelopment Tower 3	Approved	Bhendi Bazaar	56
41	Crescent Bay Tower 3	Approved	Parel	54
42	Crescent Bay Tower 4	Approved	Parel	51
43	Bhendi Bazar Redevelopment Tower 4	Approved	Bhendi Bazaar	50
