Race name	Dist (miles)	Course	Prize	Jockey	Odds	Runners
Great Subscription Purse	4	York	£160 5s	Christopher Jackson	1/2	3
not known	not known	Morpeth	£50	not known	not known	not known
Ladies' Plate	4	York	126 gs	not known	not known	not known
Ladies' Plate	not known	Lincoln	£80	not known	not known	not known
Unnamed race	not known	Morpeth	£50	none	not known	walkover
Unnamed race	4m 1.5f	Newmarket	£50	not known	£4/£5 6s	4
Open race	not known	York	£20	none	none	no entries
Match race	4 m 1.5f	Newmarket	200 gs	John Singleton	1/2	2
Jockey Club Plate	not known	Newmarket	not known	not known	2/1 first heat	6
Unnamed race	not known	Newcastle	60 gs	not known	not known	3
Jockey Club Plate	not known	Newmarket	not known	not known	10/1	5
Unnamed race	not known	Scarborough	£50	not known	10/1	3
