Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
2	49	Kirill Koltsov	Avangard Omsk ( Rus )	0	0
2	55	Denis Grot	Elemash Elektrostal ( Rus2 )	0	0
3	68	Brett Skinner	Des Moines Buccaneers ( USHL )	0	0
3	83	Lukas Mensator	HC Energie Karlovy Vary ( Cze )	0	0
4	114	John Laliberte	Boston University ( NCAA )	0	0
5	151	Rob McVicar	Brandon Wheat Kings ( WHL )	1	0
7	214	Marc-Andre Roy	Baie-Comeau Drakkar ( QMJHL )	0	0
7	223	Ilya Krikunov	Elemash Elektrostal ( Rus2 )	0	0
8	247	Matt Violin	Lake Superior State University ( NCAA )	0	0
9	277	Thomas Nussli	EV Zug ( Swiss )	0	0
9	278	Matt Gens	St. Cloud State University ( NCAA )	0	0
