Goal	Date	Venue	Result	Competition
1	7 Setiembre 2003	San José	9–0	Friendly
2	19 Noviembre 2003	Alajuela	4–0	Friendly
3	12 Junio 2004	Alajuela	5–1	Friendly
4	4 Setiembre 2005	San Pedro Sula	2–1	2001 UNCAF Nations Cup
5	4 Setiembre 2005	San Pedro Sula	1–1	2001 UNCAF Nations Cup
6	7 Setiembre 2005	Miami	2–1	2002 CONCACAF Gold Cup
7	9 Noviembre 2005	San Salvador	1–2	Friendly
8	11 Febrero 2006	Panama City	1–1	2003 UNCAF Nations Cup
9	2 Setiembre 2006	Boston	3–0	2003 CONCACAF Gold Cup
10	2 Setiembre 2006	Boston	5–2	2003 CONCACAF Gold Cup
11	24 Marzo 2007	Boston	5–2	2003 CONCACAF Gold Cup
12	24 Marzo 2007	Boston	5–2	2003 CONCACAF Gold Cup
13	21 Junio 2008	San José	3–3	Friendly
14	20 Agosto 2008	Panama City	3–1	2006 FIFA World Cup qualification (CONCACAF)
15	3 Junio 2009	San José	2–0	2006 FIFA World Cup qualification (CONCACAF)
16	6 Junio 2009	Miami	1–2	2007 CONCACAF Gold Cup
17	27 Junio 2009	Miami	1–1	2007 CONCACAF Gold Cup
18	19 Julio 2009	Miami	1–0	2007 CONCACAF Gold Cup
19	18 octubre 2007	San José	1–1	Friendly
20	19 Julio 2009	Paramaribo	4–1	2010 FIFA World Cup qualification (CONCACAF)
21	3 Junio 2009	San José	1–0	2010 FIFA World Cup qualification (CONCACAF)
22	6 Junio 2009	Florida	2–2	2009 CONCACAF Gold Cup
23	27 Junio 2009	San José	4–0	2010 FIFA World Cup qualification (CONCACAF)
24	19 Julio 2009	Montevideo	1–1	2010 FIFA World Cup qualification (CONCACAF)
