Game	Date	Opponent	Result	Nets points	Opponents	Record	Streak
1	November 2	@ Charlotte	Win	116	118	1-0	Won 1
2	November 6	@ Philadelphia	Loss	105	107	1-1	Lost 1
3	November 7	Miami	Loss	89	111	1-2	Lost 2
4	November 9	Detroit	Loss	100	110	1-3	Lost 3
5	November 12	@ New York	Loss	96	98	1-4	Lost 4
6	November 13	Utah	Loss	92	98	1-5	Lost 5
7	November 15	Washington	Loss	111	116	1-6	Lost 6
8	November 16	@ Orlando	Loss	100	102	1-7	Lost 7
9	November 19	Sacramento	Win	122	118	2-7	Won 1
10	November 21	@ Cleveland	Loss	112	116	2-8	Lost 1
11	November 23	Boston	Loss	107	125	2-9	Lost 2
12	November 26	@ Houston	Loss	109	118	2-10	Lost 3
13	November 27	@ San Antonio	Loss	100	106	2-11	Lost 4
14	November 29	@ Dallas	Win	97	91	3-11	Won 1
15	November 30	@ Denver	Loss	97	107	3-12	Lost 1
16	December 3	Philadelphia	Win	88	86	4-12	Won 1
17	December 5	@ Milwaukee	Win	109	101	5-12	Won 2
18	December 6	LA Lakers	Loss	89	98	5-13	Lost 1
19	December 10	New York	Loss	88	114	5-14	Lost 2
20	December 12	Denver	Win	121	81	6-14	Won 1
21	December 14	Charlotte	Loss	102	109	6-15	Lost 1
22	December 17	@ New York	Loss	94	102	6-16	Lost 2
23	December 18	Cleveland	Win	102	93	7-16	Won 1
24	December 20	Chicago	Loss	98	115	7-17	Lost 1
25	December 21	@ Indiana	Loss	109	118	7-18	Lost 2
26	December 23	Atlanta	Win	105	93	8-18	Won 1
27	December 26	Houston	Win	99	93	9-18	Won 2
28	December 27	@ Charlotte	Win	136	120	10-18	Won 3
29	December 30	Orlando	Win	122	112	11-18	Won 4
30	January 3	Washington	Loss	108	112	11-19	Lost 1
31	January 4	@ Chicago	Loss	96	140	11-20	Lost 2
32	January 6	LA Clippers	Win	105	90	12-20	Won 1
33	January 8	Minnesota	Win	103	97	13-20	Won 2
34	January 10	Milwaukee	Win	104	97	14-20	Won 3
35	January 11	@ Detroit	Loss	88	90	14-21	Lost 1
36	January 14	Dallas	Win	97	88	15-21	Won 1
37	January 15	@ Boston	Win	130	120	16-21	Won 2
38	January 18	@ Minnesota	Win	112	100	17-21	Won 3
39	January 22	Phoenix	Win	106	104	18-21	Won 4
40	January 24	Miami	Win	123	117	19-21	Won 5
41	January 25	@ Philadelphia	Loss	94	115	19-22	Lost 1
42	January 28	@ Sacramento	Loss	118	124	19-23	Lost 2
43	January 29	@ Phoenix	Loss	95	128	19-24	Lost 3
44	January 31	@ Portland	Loss	108	113	19-25	Lost 4
45	February 1	@ LA Clippers	Loss	88	99	19-26	Lost 5
46	February 5	Seattle	Loss	85	95	19-27	Lost 6
47	February 6	@ Washington	Loss	108	124	19-28	Lost 7
48	February 11	@ Chicago	Loss	113	133	19-29	Lost 8
49	February 12	@ Philadelphia	Win	102	87	20-29	Won 1
50	February 14	Philadelphia	Win	107	99	21-29	Won 2
51	February 15	@ Cleveland	Loss	92	128	21-30	Lost 1
52	February 19	Detroit	Win	106	102	22-30	Won 1
53	February 21	Indiana	Win	105	101	23-30	Won 2
54	February 22	@ Atlanta	Loss	107	119	23-31	Lost 1
55	February 25	Boston	Win	109	95	24-31	Won 1
56	February 27	Portland	Win	98	96	25-31	Won 2
57	February 29	@ Detroit	Win	99	90	26-31	Won 3
58	March 1	New York	Win	90	75	27-31	Won 4
59	March 4	@ LA Lakers	Loss	92	101	27-32	Lost 1
60	March 6	@ Utah	Loss	96	117	27-33	Lost 2
61	March 7	@ Seattle	Loss	98	109	27-34	Lost 3
62	March 10	@ Golden State	Loss	122	129	27-35	Lost 4
63	March 13	@ Boston	Win	110	108	28-35	Won 1
64	March 14	@ New York	Win	96	94	29-35	Won 2
65	March 17	Chicago	Loss	79	90	29-36	Lost 1
66	March 20	Washington	Win	99	96	30-36	Won 1
67	March 22	@ Miami	Loss	100	107	30-37	Lost 1
68	March 23	Charlotte	Win	123	120	31-37	Won 1
69	March 25	Boston	Loss	110	118	31-38	Lost 1
70	March 28	Golden State	Loss	148	153	31-39	Lost 2
71	March 30	San Antonio	Win	117	109	32-39	Won 1
72	April 1	@ Milwaukee	Win	121	117	33-39	Won 2
73	April 3	Milwaukee	Win	122	103	34-39	Won 3
74	April 5	@ Indiana	Win	128	120	35-39	Won 4
75	April 7	Atlanta	Loss	97	104	35-40	Lost 1
76	April 8	@ Washington	Win	109	103	36-40	Won 1
77	April 10	Cleveland	Win	110	86	37-40	Won 2
78	April 11	@ Atlanta	Loss	98	118	37-41	Lost 1
79	April 13	@ Orlando	Win	110	104	38-41	Won 1
80	April 14	@ Miami	Win	105	100	39-41	Won 2
81	April 16	Indiana	Loss	113	119	39-42	Lost 1
82	April 18	Orlando	Win	127	111	40-42	Won 1
1	April 23	@ Cleveland	Loss	113	120	0-1	Lost 1
2	April 25	@ Cleveland	Loss	96	118	0-2	Lost 2
3	April 28	Cleveland	Win	109	104	1-2	Won 1
4	April 30	Cleveland	Loss	89	98	1-3	Lost 1
