Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	@ Minnesota	L 56–73 (OT)	Vince Carter (15)	Jerome Williams (16)	Vince Carter , Alvin Williams (3)	Target Center 15,869	2–1
4	November 6	Dallas	W 77–71 (OT)	Vince Carter (19)	Antonio Davis (12)	Milt Palacio (7)	Air Canada Centre 17,556	3–1
5	November 7	@ Washington	L 60–86 (OT)	Vince Carter (18)	Jerome Williams (13)	Alvin Williams (6)	MCI Center 20,173	3–2
6	November 9	Denver	W 89–76 (OT)	Vince Carter (34)	Jerome Williams (13)	Vince Carter , Milt Palacio (6)	Air Canada Centre 16,888	4–2
7	November 11	@ Portland	L 80–83 (OT)	Vince Carter (33)	Antonio Davis (11)	Milt Palacio (10)	Rose Garden 14,082	4–3
8	November 12	@ L.A. Lakers	L 79–94 (OT)	Vince Carter (23)	Chris Bosh , Antonio Davis , Jerome Williams (8)	Vince Carter , Milt Palacio (4)	Staples Center 18,997	4–4
10	November 16	Houston	W 101–97 (2OT)	Chris Bosh (25)	Jerome Williams (11)	Vince Carter (9)	Air Canada Centre 19,547	5–5
11	November 19	Philadelphia	L 75–81 (OT)	Vince Carter (20)	Antonio Davis (9)	Vince Carter (7)	Air Canada Centre 19,800	5–6
12	November 22	@ New Jersey	W 81–80 (OT)	Vince Carter (21)	Chris Bosh , Vince Carter , Jerome Williams (6)	Vince Carter (9)	Continental Airlines Arena 13,755	6–6
13	November 23	Milwaukee	L 62–82 (OT)	Vince Carter (15)	Antonio Davis , Jerome Williams (9)	Alvin Williams (6)	Air Canada Centre 17,702	6–7
14	November 26	@ Atlanta	W 99–97 (OT)	Vince Carter (43)	Antonio Davis (11)	Alvin Williams (6)	Philips Arena 11,730	7–7
15	November 28	@ Orlando	W 87–86 (OT)	Vince Carter (20)	Chris Bosh , Antonio Davis (8)	Vince Carter (8)	TD Waterhouse Centre 13,375	8–7
