Week	Date	Opponent	Result	Attendance
1	September 17, 1961	St. Louis Cardinals	L 21–10	58,059
2	September 24, 1961	at Pittsburgh Steelers	W 17–14	35,587
3	October 1, 1961	at Washington Redskins	W 24–21	36,767
4	October 8, 1961	St. Louis Cardinals	W 24–9	23,713
5	October 15, 1961	at Dallas Cowboys	W 31–10	41,500
6	October 22, 1961	Los Angeles Rams	W 24–14	63,053
7	October 29, 1961	Dallas Cowboys	L 17–16	60,254
8	November 5, 1961	Washington Redskins	W 53–0	56,077
9	November 12, 1961	Philadelphia Eagles	W 38–21	62,800
10	November 19, 1961	Pittsburgh Steelers	W 42–21	62,592
11	November 26, 1961	at Cleveland Browns	W 37–21	80,455
12	December 3, 1961	at Green Bay Packers	L 20–17	47,012
13	December 10, 1961	at Philadelphia Eagles	W 28–24	60,671
14	December 17, 1961	Cleveland Browns	T 7–7	61,804
