Elector	Nationality	Cardinalatial order and title	Elevated	Elevator
Pietro Corsini	Florentine	Cardinal-bishop of Porto e Santa Rufina	1370, June 7	Urban V
Jean du Cros	French	Cardinal-bishop of Palestrina	1371, May 30	Gregory XI
Guillaume d'Aigrefeuille, iuniore , O.S.B.	French	Cardinal-priest of S. Stefano al Monte Celio	1367, May 12	Urban V
Francesco Tebaldeschi	Roman	Cardinal-priest of S. Sabina	1368, September 22	Urban V
Bertrand Lagier , O.F.M.	French	Cardinal-priest of S. Cecilia	1371, May 30	Gregory XI
Robert de Genève	French	Cardinal-priest of Ss. XII Apostoli	1371, May 30	Gregory XI
Simone Borsano	Milanese	Cardinal-priest of Ss. Giovanni e Paolo	1375, December 20	Gregory XI
Hugues de Montelais, le jeune	French	Cardinal-priest of Ss. IV Coronati	1375, December 20	Gregory XI
Gui de Maillesec	French	Cardinal-priest of S. Croce in Gerusalemme	1375, December 20	Gregory XI
Pierre de Sortenac	French	Cardinal-priest of S. Lorenzo in Lucina	1375, December 20	Gregory XI
Gérard du Puy , O.S.B.	French	Cardinal-priest of S. Clemente	1375, December 20	Gregory XI
Giacomo Orsini	Roman	Cardinal-deacon of S. Giorgio in Velabro	1371, May 30	Gregory XI
Pierre Flandrin	French	Cardinal-deacon of S. Eustachio	1371, May 30	Gregory XI
Guillaume Noellet	French	Cardinal-deacon of S. Angelo in Pescheria	1371, May 30	Gregory XI
Pierre de Vergne	French	Cardinal-deacon of S. Maria in Via Lata	1371, May 30	Gregory XI
Pedro Martínez de Luna y Gotor	Aragonese	Cardinal-deacon of S. Maria in Cosmedin	1375, December 20	Gregory XI
