Rider	Manufacturer	Laps	Time	Grid
Dani Pedrosa	Honda	27	45:35:121	2
Valentino Rossi	Yamaha	27	+2.883	5
Jorge Lorenzo	Yamaha	27	+4.339	1
Nicky Hayden	Honda	27	+10.142	4
Loris Capirossi	Suzuki	27	+27.524	10
James Toseland	Yamaha	27	+27.808	8
John Hopkins	Kawasaki	27	+28.296	9
Andrea Dovizioso	Honda	27	+28.449	13
Shinya Nakano	Honda	27	+32.569	11
Chris Vermeulen	Suzuki	27	+35.091	12
Casey Stoner	Ducati	27	+42.223	7
Marco Melandri	Ducati	27	+44.498	18
Anthony West	Kawasaki	27	+45.807	15
Alex de Angelis	Honda	27	+45.871	14
Toni Elias	Ducati	27	+1:09.558	16
Sylvain Guintoli	Ducati	27	+1:14.442	17
Colin Edwards	Yamaha	5	Accident	3
Randy de Puniet	Honda	2	Retirement	6
