Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Calgary	3 – 2	Detroit	Howard	20,066	18–7–2
December 4	NY Islanders	2 – 1	Detroit	Howard	20,066	18–8–2
December 6	New Jersey	2 – 5	Detroit	Osgood	20,066	19–8–2
December 9	Detroit	4 – 3	Washington	Osgood	18,277	20–8–2
December 12	Pittsburgh	1 – 3	Detroit	Osgood	20,066	21–8–2
December 13	Detroit	6 – 7	Atlanta	Osgood	17,559	21–9–2
December 15	Detroit	2 – 3	Florida	Osgood	17,716	21–9–3
December 17	Detroit	6 – 3	Tampa Bay	Osgood	21,204	22–9–3
December 20	Columbus	3 – 4	Detroit	Osgood	20,066	23–9–3
December 23	Detroit	3 – 2	Chicago	Osgood	20,543	24–9–3
December 27	Detroit	4 – 1	Dallas	Osgood	18,584	25–9–3
December 31	Columbus	2 – 3	Detroit	Osgood	20,066	26–9–3
