Place	Player	Country	Score	To par
1	Payne Stewart	United States	66-71-70=207	–3
T2	Tom Lehman	United States	68-75-68=211	+1
T2	Bob Tway	United States	68-70-73=211	+1
T4	Nick Price	Zimbabwe	73-68-71=212	+2
T4	Lee Janzen	United States	73-66-73=212	+2
T6	Steve Stricker	United States	73-71-69=213	+3
T6	Jeff Maggert	United States	69-69-75=213	+3
T8	Stewart Cink	United States	73-68-73=214	+4
T8	Mark Carnevale	United States	67-73-74=214	+4
T10	Jim Furyk	United States	74-73-68=215	+5
T10	Matt Kuchar (a)	United States	70-69-76=215	+5
T10	Lee Porter	United States	72-67-76=215	+5
