Name	Height	Weight	Spike	2008 club
Evgeni Ivanov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Jastrzębski Węgiel
Hristo Tsvetanov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Budvanska Rivijera Budva
Andrey Zhekov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Patron Patra
Boyan Yordanov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Olympiacos
Krasimir Gaydarski Category:Articles with hCards	m ()	kg (lb)	cm (in)	Olympiacos
Matey Kaziyski Category:Articles with hCards	m ()	kg (lb)	cm (in)	Trentino Volley
Vladimir Nikolov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Trentino Volley
Teodor Salparov Category:Articles with hCards	m ()	kg (lb)	cm (in)	CSKA Sofia
Kostadin Stoykov Category:Articles with hCards	m ()	kg (lb)	cm (in)	VC Nova
Todor Aleksiev Category:Articles with hCards	m ()	kg (lb)	cm (in)	Levski Siconco
Plamen Konstantinov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Iraklis
Ivan Tassev Category:Articles with hCards	m ()	kg (lb)	cm (in)	CSKA Sofia
