Season	Div.	Tms.	Pos.	Attendance/G	Emperor's Cup
1997	J1	17	16	6,567	4th Round
1998	J1	18	17	7,686	3rd Round
1999	J1	16	10	7,691	3rd Round
2000	J1	16	13	7,512	Semi-final
2001	J1	16	12	13,872	4th Round
2002	J1	16	14	10,467	3rd Round
2003	J1	16	13	11,195	Quarter-final
2004	J1	16	11	15,735	4th Round
2005	J1	18	18	14,913	4th Round
2006	J2	13	3	6,910	3rd Round
2007	J1	18	10	12,460	5th Round
2008	J1	18	10	12,981	5th Round
2009	J1	18	14	13,068	4th Round
2010	J1	18	15	12,824	3rd Round
2011	J1	18	9	13,233	3rd Round
2012	J1	18	16	14,638	2nd Round
