Team	Chassis	Engine	Tyre	Drivers	Races
Chip Ganassi Racing	Lola B2K/00	Toyota RVA	F	Juan Pablo Montoya	All
Chip Ganassi Racing	Lola B2K/00	Toyota RVA	F	Jimmy Vasser	All
Team Penske	Reynard 2KI	Honda HRK	F	Gil de Ferran	All
Team Penske	Reynard 2KI	Honda HRK	F	Hélio Castroneves	All
Walker Motorsport	Reynard 2KI	Honda HRK	F	Shinji Nakano (R)	1, 4-20
Walker Motorsport	Reynard 2KI	Honda HRK	F	Bryan Herta	2-3
Newman/Haas Racing	Lola B2K/00	Ford - Cosworth XF	F	Michael Andretti	All
Newman/Haas Racing	Lola B2K/00	Ford - Cosworth XF	F	Christian Fittipaldi	All
Team Rahal	Reynard 2KI	Ford-Cosworth XF	F	Max Papis	All
Team Rahal	Reynard 2KI	Ford-Cosworth XF	F	Kenny Bräck (R)	All
Team Rahal	Reynard 2KI	Ford-Cosworth XF	F	Casey Mears (R)	20
Della Penna Motorsports	Reynard 2KI	Toyota RVA	F	Norberto Fontana (R)	1-10
Della Penna Motorsports	Reynard 2KI	Toyota RVA	F	Memo Gidley	11-18, 20
Della Penna Motorsports	Reynard 2KI	Toyota RVA	F	Jason Bright (R)	19
Bettenhausen Racing	Lola B2K/00	Ford-Cosworth XF	F	Michel Jourdain, Jr.	All
PacWest Racing	Reynard 2KI	Mercedes IC 108E	F	Maurício Gugelmin	All
PacWest Racing	Reynard 2KI	Mercedes IC 108E	F	Mark Blundell	All
Dale Coyne Racing	Lola B2K/00	Ford-Cosworth XF	F	Takuya Kurosawa (R)	1-11
Dale Coyne Racing	Lola B2K/00	Ford-Cosworth XF	F	Gualter Salles	12-14
Dale Coyne Racing	Lola B2K/00	Ford-Cosworth XF	F	Alex Barron	15-20
Dale Coyne Racing	Lola B2K/00	Ford-Cosworth XF	F	Gualter Salles	1-3
Dale Coyne Racing	Swift 011.c	Ford-Cosworth XF	F	Tarso Marques	4-20
Patrick Racing	Reynard 2KI	Ford-Cosworth XF	F	Roberto Moreno	All
Patrick Racing	Reynard 2KI	Ford-Cosworth XF	F	Adrián Fernández	All
Arciero Racing	Reynard 2KI	Mercedes IC 108E	F	Luiz Garcia, Jr.	All
Team Green	Reynard 2KI	Honda HRK	F	Paul Tracy	All
Team Green	Reynard 2KI	Honda HRK	F	Dario Franchitti	All
Forsythe Racing	Reynard 2KI	Ford-Cosworth XF	F	Patrick Carpentier	1, 5-20
Forsythe Racing	Reynard 2KI	Ford-Cosworth XF	F	Memo Gidley	2-4
Forsythe Racing	Reynard 2KI	Ford-Cosworth XF	F	Alex Tagliani (R)	All
Forsythe Racing	Reynard 2KI	Ford-Cosworth XF	F	Bryan Herta	16
Mo Nunn Racing	Reynard 2KI	Mercedes IC 108E	F	Tony Kanaan	1-7, 11-20
Mo Nunn Racing	Reynard 2KI	Mercedes IC 108E	F	Bryan Herta	8-10
PPI Motorsports	Reynard 2KI	Toyota RVA	F	Oriol Servià (R)	All
PPI Motorsports	Reynard 2KI	Toyota RVA	F	Cristiano da Matta	All
