Rank	Name	Team	Goals	Appearances	Minutes played
1	Lionel Messi	Barcelona	12	13	1098' 40"
2	Mario Gómez	Bayern Munich	8	8	0 634' 19"
2	Samuel Eto'o	Internazionale	8	10	0 937' 52"
4	Nicolas Anelka	Chelsea	7	9	0 600' 58"
5	Karim Benzema	Real Madrid	6	8	0 398' 12"
5	Roberto Soldado	Valencia	6	7	0 438' 06"
5	Cristiano Ronaldo	Real Madrid	6	12	1067' 14"
8	Pedro Rodríguez	Barcelona	5	12	0 812' 54"
8	Raúl	Schalke 04	5	12	1130' 30"
10	Eduardo	Shakhtar Donetsk	4	8	0 279' 48"
10	Marco Borriello	Roma	4	8	0 554' 09"
10	Javier Hernández	Manchester United	4	9	0 582' 37"
10	Peter Crouch	Tottenham Hotspur	4	9	0 604' 20"
10	Zlatan Ibrahimović	Milan	4	8	0 689' 18"
10	Gareth Bale	Tottenham Hotspur	4	9	0 770' 46"
10	Luiz Adriano	Shakhtar Donetsk	4	10	0 833' 10"
10	Wayne Rooney	Manchester United	4	9	0 839' 07"
10	Jefferson Farfán	Schalke 04	4	10	0 847' 00"
10	David Villa	Barcelona	4	12	0 954' 46"
