Date	Venue	Score	Result	Competition
23 July 2006	Independence Stadium , Windhoek , Namibia	2–1	3–2	2006 COSAFA Cup
6 July 2007	Kamuzu Stadium , Blantyre , Malawi	2–1	2–1	Friendly
8 September 2007	Addis Ababa Stadium , Addis Abeba , Ethiopia	1–1	3–2	2008 Africa Cup of Nations qualification
8 September 2007	Addis Ababa Stadium, Addis Ababa, Ethiopia	2–2	3–2	2008 Africa Cup of Nations qualification
14 June 2008	Sam Nujoma Stadium , Windhoek, Namibia	1–1	1–2	2010 FIFA World Cup qualification
11 October 2008	Sam Nujoma Stadium, Windhoek, Namibia	2–0	4–2	2010 FIFA World Cup qualification
1 April 2009	Saida International Stadium , Saida , Lebanon	1–0	1–1	Friendly
6 June 2009	Independence Stadium, Windhoek, Namibia	2–0	4–0	Friendly
4 September 2009	Sam Nujoma Stadium, Windhoek, Namibia	1–0	1–1	Friendly
3 March 2010	Moses Mabhida Stadium , Durban , South Africa	1–0	1–1	Friendly
11 November 2011	Stade National Gouled , Djibouti , Djibouti	1–0	4–0	2014 FIFA World Cup qualification
11 November 2011	Stade ational Gouled, Djibouti, Djibouti	3–0	4–0	2014 FIFA World Cup qualification
