Letter	IPv6 address	AS-number	Operator	Location #sites (global/local)	Software
A	2001:503:ba3e::2:30	AS19836	Verisign	Distributed using anycast 8/0	BIND
B	2001:478:65::53	N/A	USC - ISI	Marina Del Rey, California, U.S. 0/1	BIND
C	N/A expected 2001:500:2::c but not yet in zone	AS2149	Cogent Communications	Distributed using anycast 8/0	BIND
D	2001:500:2d::d	AS27	University of Maryland	College Park, Maryland, U.S. 1/0	BIND
E	N/A	AS297	NASA	Distributed using anycast 1/11	BIND
F	2001:500:2f::f	AS3557	Internet Systems Consortium	Distributed using anycast 5/51	BIND 9
G	N/A	AS5927	Defense Information Systems Agency	Distributed using anycast 6/0	BIND
H	2001:500:1::803f:235	AS13	U.S. Army Research Lab	Aberdeen Proving Ground, Maryland, U.S. 2/0	NSD
I	2001:7fe::53	AS29216	Netnod	Distributed using anycast 43	BIND
J	2001:503:c27::2:30	AS26415	Verisign	Distributed using anycast 63/7	BIND
K	2001:7fd::1	AS25152	RIPE NCC	Distributed using anycast 5/12	NSD
L	2001:500:3::42	AS20144	ICANN	Distributed using anycast 146/0	NSD
M	2001:dc3::35	AS7500	WIDE Project	Distributed using anycast 5/1	BIND
