Start date	End date	Pos.	Player	To club
15 Aug. 07	31 May 08	MF	Ishmael Miller	West Brom
21 Aug. 07	11 Nov. 07	DF	Matthew Mills	Doncaster Rovers
31 Aug. 07	31 May 08	FW	Bernardo Corradi	Parma
31 Aug. 07	31 Dec. 07	FW	Paul Dickov	Crystal Palace
31 Aug. 07	31 Dec. 07	DF	Danny Mills	Charlton Athletic
11 Oct. 07	10 Nov. 07	DF	Shaleum Logan	Grimsby Town
25 Oct. 07	24 Nov. 07	GK	Kasper Schmeichel	Cardiff City
10 Nov. 07	19 Dec. 07	DF	Shaleum Logan	Scunthorpe United
21 Oct. 07	20 Dec. 07	FW	Ched Evans	Norwich City
4 Jan. 08	31 May 08	DF	Danny Mills	Derby County
10 Jan. 08	26 Feb. 08	FW	Ched Evans	Norwich City
11 Jan. 08	31 May 08	DF	Matthew Mills	Doncaster Rovers
23 Jan. 08	31 May 08	FW	Rolando Bianchi	Lazio
29 Jan. 08	31 May 08	FW	Georgios Samaras	Celtic
31 Jan. 08	31 May 08	FW	Paul Dickov	Blackpool
22 Feb. 08	14 Mar. 08	DF	Shaleum Logan	Stockport County
4 Mar. 08	31 May 08	MF	Kelvin Etuhu	Leicester City
13 Mar. 08	31 May 08	GK	Kasper Schmeichel	Coventry City
24 Mar. 08	31 May 08	DF	Shaleum Logan	Stockport County
