Driver	Constructor	Q1 order	Q1 time	Q1 pos	Q1+Q2 time
Fernando Alonso	Renault	20	1:29.848	1	3:01.902
Michael Schumacher	Ferrari	14	1:30.237	3	3:02.357
Jarno Trulli	Toyota	19	1:29.993	2	3:02.660
Nick Heidfeld	Williams - BMW	18	1:30.390	4	3:03.217
Mark Webber	Williams - BMW	5	1:30.592	6	3:03.262
Ralf Schumacher	Toyota	16	1:30.952	11	3:03.271
Christian Klien	Red Bull - Cosworth	13	1:30.646	8	3:03.369
Pedro de la Rosa	McLaren - Mercedes	17	1:30.725	9	3:03.373
Kimi Räikkönen	McLaren - Mercedes	12	1:30.594	7	3:03.524
Giancarlo Fisichella	Renault	6	1:30.445	5	3:03.765
Jenson Button	BAR - Honda	3	1:30.957	12	3:04.348
Felipe Massa	Sauber - Petronas	11	1:30.933	10	3:05.202
Takuma Sato	BAR - Honda	2	1:31.113	13	3:05.563
David Coulthard	Red Bull - Cosworth	15	1:31.211	14	3:05.844
Rubens Barrichello	Ferrari	7	1:31.826	15	3:07.983
Jacques Villeneuve	Sauber - Petronas	4	1:32.318	16	3:07.983
Tiago Monteiro	Jordan - Toyota	9	1:33.424	18	3:09.428
Narain Karthikeyan	Jordan - Toyota	10	1:33.190	17	3:10.143
Christijan Albers	Minardi - Cosworth	8	1:34.005	19	3:10.422
Patrick Friesacher	Minardi - Cosworth	1	1:34.848	20	3:11.261
