Rank	Player	Team	Runs	Balls	Year	Against
1	Kevin O'Brien	Gloucestershire Gladiators	119	52	2011	Middlesex Panthers
2	Matt Prior	Sussex Sharks	117	55	2010	Glamorgan Dragons
3	Wes Durston	Derbyshire Falcons	111	59	2010	Nottinghamshire Outlaws
4	Richard Levi	Northamptonshire Steelbacks	110 *	62	2013	Glamorgan
5	Marcus Trescothick	Somerset	108 *	61	2011	Essex Eagles
6	Michael Klinger	Gloucestershire Gladiators	108 *	64	2013	Worcestershire Royals
7	James Hildreth	Somerset	107 *	60	2012	Welsh Dragons
8	Scott Styris	Essex Eagles	106 *	50	2010	Surrey
9	Azhar Mahmood	Kent Spitfires	106 *	57	2011	Gloucestershire Gladiators
10	Adam Gilchrist	Middlesex Panthers	106	52	2010	Kent Spitfires
11	Ravi Bopara	Essex Eagles	105 *	62	2010	Somerset
12	Brad Hodge	Leicestershire Foxes	103	66	2010	Nottinghamshire Outlaws
13	Ryan ten Doeschate	Essex Eagles	102	54	2010	Middlesex Panthers
14	Hamish Marshall	Gloucestershire Gladiators	102	54	2011	Middlesex Panthers
15	Herschelle Gibbs	Yorkshire Carnegie	101 *	53	2010	Northamptonshire Steelbacks
16	Jason Roy	Surrey	101 *	57	2010	Kent Spitfires
17	Scott Styris	Sussex Sharks	100 *	37	2012	Gloucestershire Gladiators
18	Jimmy Adams	Hampshire Royals	101 *	67	2010	Surrey
19	Murray Goodwin	Sussex Sharks	100 *	59	2011	Surrey
20	Jimmy Adams	Hampshire Royals	100 *	61	2010	Glamorgan Dragons
21	Michael Carberry	Hampshire Royals	100 *	66	2013	Lancashire Lightning
