Institution	Location	Founded	Affiliation	Enrollment	Team Nickname	Primary conference
Central Washington University	Ellensburg, Washington	1891	Public	10,400	Wildcats	GNAC ( Division II )
College of Idaho	Caldwell, Idaho	1891	Private	1,050	Coyotes	Cascade ( NAIA )
Gonzaga University	Spokane, Washington	1887	Private/ Catholic	7,272	Bulldogs	WCC ( Division I )
Pacific Lutheran University	Parkland, Washington	1890	Private/ Lutheran	3,669	Lutes	NWC ( Division III )
University of Portland	Portland, Oregon	1901	Private/Catholic	3,537	Pilots	WCC ( Division I )
University of Puget Sound	Tacoma, Washington	1888	Private	2,600	Loggers	NWC ( Division III )
Southern Oregon University	Ashland, Oregon	1872	Public	4,560	Raiders	Cascade ( NAIA )
Western Oregon University	Monmouth, Oregon	1856	Public	5,654	Wolves	GNAC ( Division II )
Western Washington University	Bellingham, Washington	1893	Public	14,575	Vikings	GNAC ( Division II )
Whitman College	Walla Walla, Washington	1859	Private/ Non-sectarian	1,450	Fighting Missionaries	NWC ( Division III )
