Name of System	Location	Traction Type	Date (From)	Date (To)
ATM (1897–1917) GTA (1919–1922)	Apeldoorn	Horse	12 August 1897	11 November 1917
ATM (1897–1917) GTA (1919–1922)	Apeldoorn	Petrol (gasoline)	5 June 1919	8 October 1922
ATM (1880–1911) GETA (1911–1944)	Arnhem	Horse	3 May 1880	12 June 1912
ATM (1880–1911) GETA (1911–1944)	Arnhem	Electric	21 May 1911	17 September 1944
HSM (1883–1910) GT (1915–1922)	Groenlo	Steam	29 May 1883	31 December 1910
HSM (1883–1910) GT (1915–1922)	Groenlo	Petrol (gasoline)	6 August 1915	Oct 1922
HSM (1883–1910) GT (1915–1922)	Groenlo	Horse	1917	1919
NTM (1889–1912) M&W (1912–1921) GTN (1911–1955)	Nijmegen	Horse	1889	1911
NTM (1889–1912) M&W (1912–1921) GTN (1911–1955)	Nijmegen	Steam	30 June 1889	31 December 1921
NTM (1889–1912) M&W (1912–1921) GTN (1911–1955)	Nijmegen	Electric	4 June 1911	20 November 1955
GTZ	Zaltbommel	Horse	14 March 1910	31 August 1923
ZTM	Zutphen	Horse	16 May 1889	29 January 1904
