Issued	Type	Design	Serial format	Serials issued
1954	Passenger	black on orange	AB 123	unknown
1955	Passenger	yellow on blue	AB-123	unknown
1956	Passenger	red on white	AB 123	unknown
1957	Passenger	blue on white	AB 123	unknown
1958	Passenger	black on yellow	AB 123	unknown
1959	Passenger	green on white	AB 123	unknown
1960	Passenger	white on red	AB 1234	unknown
1961	Passenger	blue on yellow	AB 1234	unknown
1962	Passenger	white on green	AB 1234	unknown
1963	Passenger	black on white	AB 1234	unknown
1964	Passenger	white on blue	AB-12-34	AA-00-00 to HH-99-99
1965	Passenger	red on white	AB-12-34	JJ-00-00 to RR-99-99
1966	Passenger	blue on white	AB-12-34	SS-00-00 to ZZ-99-99
1967	Passenger	green on white	AB-12-34	AA-00-00 to HH-99-99
1968	Passenger type 1	white on green	AB-12-34	JJ-00-00 to RR-99-99
1968	Passenger type 2	white on green	AB-12-34	JJ-00-00 to RR-99-99
1969	Passenger	yellow on blue	AB-12-34	SS-00-00 to ZZ-99-99
1970	Passenger	white on blue	AB-12-34	AA-00-00 to HH-99-99
1971	Passenger	white on green	AB-12-34	JJ-00-00 to RR-99-99
1972	Passenger	white on blue	AB-12-34	SS-00-00 to ZZ-99-99
