Rider	Manufacturer	Laps	Time	Grid
Gábor Talmácsi	Aprilia	23	40:03.679	1
Bradley Smith	Aprilia	23	+5.402	2
Simone Corsi	Aprilia	23	+14.388	5
Marc Márquez	KTM	23	+17.058	8
Nicolás Terol	Aprilia	23	+17.321	9
Andrea Iannone	Aprilia	23	+17.482	13
Sandro Cortese	Aprilia	23	+17.485	7
Dominique Aegerter	Derbi	23	+18.657	14
Esteve Rabat	KTM	23	+19.148	19
Sergio Gadea	Aprilia	23	+34.650	12
Efrén Vázquez	Aprilia	23	+34.855	18
Joan Olivé	Derbi	23	+39.394	10
Michael Ranseder	Aprilia	23	+47.304	21
Danny Webb	Aprilia	23	+53.241	20
Jonas Folger	Aprilia	23	+53.349	28
Jules Cluzel	Loncin	23	+1:01.903	24
Marco Ravaioli	Aprilia	23	+1:04.165	32
Tomoyoshi Koyama	KTM	23	+1:06.235	22
Takaaki Nakagami	Aprilia	23	+1:06.260	25
Robin Lasser	Aprilia	23	+1:07.200	27
Gabriele Ferro	Honda	23	+1:21.814	31
Bastien Chesaux	Aprilia	23	+1:22.521	38
Louis Rossi	Honda	23	+1:35.247	33
Hugo Van Den Berg	Aprilia	23	+1:39.723	39
Luca Vitali	Aprilia	22	+1 Lap	36
Randy Krummenacher	KTM	21	+2 Laps	37
Mike Di Meglio	Derbi	14	Accident	6
Stefan Bradl	Aprilia	14	Retirement	11
Lorenzo Zanetti	KTM	14	Retirement	26
Pol Espargaró	Derbi	12	Retirement	3
Lorenzo Savadori	Aprilia	12	Retirement	23
Raffaele De Rosa	KTM	10	Retirement	15
Alexis Masbou	Loncin	6	Retirement	29
Gennaro Sabatino	Aprilia	6	Retirement	30
Pablo Nieto	KTM	4	Retirement	34
Steve Bonsey	Aprilia	3	Retirement	17
Scott Redding	Aprilia	1	Accident	4
Adrián Martín	Aprilia	0	Accident	35
Riccardo Moretti	Honda	0	Accident	16
