Driver	Constructor	Laps	Time/Retired	Grid
Ralf Schumacher	Williams - BMW	69	1:34:31.522	2
Michael Schumacher	Ferrari	69	+20.235	1
Mika Häkkinen	McLaren - Mercedes	69	+40.672	8
Kimi Räikkönen	Sauber - Petronas	69	+1:08.116	7
Jean Alesi	Prost - Acer	69	+1:10.435	16
Pedro de la Rosa	Jaguar - Cosworth	68	+1 Lap	14
Ricardo Zonta	Jordan - Honda	68	+1 Lap	12
Luciano Burti	Prost - Acer	68	+1 Lap	19
Tarso Marques	Minardi - European	66	+3 Laps	21
Jos Verstappen	Arrows - Asiatech	65	Brakes	13
Jarno Trulli	Jordan - Honda	63	Brakes	4
David Coulthard	McLaren - Mercedes	54	Engine	3
Olivier Panis	BAR - Honda	38	Brakes	6
Jacques Villeneuve	BAR - Honda	34	Driveshaft	9
Enrique Bernoldi	Arrows - Asiatech	24	Engine	17
Juan Pablo Montoya	Williams - BMW	19	Accident	10
Rubens Barrichello	Ferrari	19	Spun off	5
Jenson Button	Benetton - Renault	17	Oil Leak	20
Fernando Alonso	Minardi - European	7	Transmission	22
Nick Heidfeld	Sauber - Petronas	1	Collision	11
Eddie Irvine	Jaguar - Cosworth	1	Collision	15
Giancarlo Fisichella	Benetton - Renault	0	Collision	18
