Submitting country	Film title used in nomination	Original title	Language(s)	Director(s)	Result
Argentina	XXY	XXY	Spanish	Lucía Puenzo Category:Articles with hCards	Not Nominated
Australia	The Home Song Stories	The Home Song Stories	Cantonese , English, Mandarin	Tony Ayres Category:Articles with hCards	Not Nominated
Austria	The Counterfeiters	Die Fälscher	German	Stefan Ruzowitzky Category:Articles with hCards	Won Academy Award
Azerbaijan	Caucasia	Kavkaz кавказ	Azerbaijani , Russian	Farid Gumbatov Category:Articles with hCards	Not Nominated
Bangladesh	On the Wings of Dreams	Swopnodanay স্বপ্নডানায়	Bengali	Golam Rabbany Biplob Category:Articles with hCards	Not Nominated
Belgium	Ben X	Ben X	Dutch	Nic Balthazar Category:Articles with hCards	Not Nominated
Bolivia	Los Andes no creen en Dios [A ]	Los Andes no creen en Dios	Spanish	Antonio Eguino Category:Articles with hCards	Not Accepted
Bosnia and Herzegovina	It's Hard to be Nice	Teško je biti fin	Serbo-Croatian	Srdan Vuletic Category:Articles with hCards	Not Nominated
Brazil	The Year My Parents Went On Vacation	O Ano em que Meus Pais Saíram de Férias	Portuguese	Cao Hamburger Category:Articles with hCards	Made January Shortlist
Bulgaria	Warden of the Dead	Pazachyt na myrtvite Пазачът на мъртвите	Bulgarian	Ilian Simeonov Category:Articles with hCards	Not Nominated
Canada	Days of Darkness	L’Âge des ténèbres	French	Denys Arcand Category:Articles with hCards	Made January Shortlist
Chile	Padre Nuestro	Padre nuestro	Spanish	Rodrigo Sepúlveda Category:Articles with hCards	Not Nominated
China	The Knot	Yun shui yao 云水谣	Mandarin	Yin Li Category:Articles with hCards	Not Nominated
Colombia	Satanás	Satanás	Spanish	Andi Baiz Category:Articles with hCards	Not Nominated
Croatia	Armin	Armin	Serbo-Croatian	Ognjen Sviličić Category:Articles with hCards	Not Nominated
Cuba	The Silly Age	La Edad de la peseta	Spanish	Pavel Giroud Category:Articles with hCards	Not Nominated
Czech Republic	I Served the King of England	Obsluhoval jsem anglického krále	Czech	Jiri Menzel Category:Articles with hCards	Not Nominated
Denmark	The Art of Crying	Kunsten at græde i kor	Danish	Peter Schønau Fog Category:Articles with hCards	Not Nominated
Egypt	In the Heliopolis Flat	Fi shaket masr el Gedeeda في شقة مصر الجديدة	Arabic	Mohamed Khan Category:Articles with hCards	Not Nominated
Estonia	The Class	Klass	Estonian	Ilmar Raag Category:Articles with hCards	Not Nominated
Finland	A Man's Job	Miehen työ	Finnish	Aleksi Salmenperä Category:Articles with hCards	Not Nominated
Georgia	The Russian Triangle	Rusuli samkudhedi Русский треугольник	Russian	Aleko Tsabadze Category:Articles with hCards	Not Nominated
Germany	The Edge of Heaven	Auf der anderen Seite	German, Turkish	Fatih Akin Category:Articles with hCards	Not Nominated
Greece	Eduart	Eduart	Albanian , German, Greek	Angeliki Antoniou Category:Articles with hCards	Not Nominated
Hong Kong	Exiled	Fong juk 放逐	Cantonese	Johnnie To Category:Articles with hCards	Not Nominated
Hungary	Taxidermia	Taxidermia	Hungarian	György Pálfi Category:Articles with hCards	Not Nominated
Iceland	Jar City	Mýrin	Icelandic	Baltasar Kormakur Category:Articles with hCards	Not Nominated
India	Eklavya: The Royal Guard [B ]	Eklavya: The Royal Guard एकलव्य	Hindi	Vidhu Vinod Chopra Category:Articles with hCards	Not Nominated
Indonesia	Denias, Singing on the Cloud	Denias Senandung Di Atas Awan	Indonesian	John De Rantau Category:Articles with hCards	Not Nominated
Iran	M for Mother	Mim Mesle Madar میم مثل مادر	Persian	Rasul Mollagholipour Category:Articles with hCards	Not Nominated
Iraq	Jani Gal	Jani Gal	Kurdish	Jamil Rostami Category:Articles with hCards	Not Nominated
