Year	Builder and model name	Length (feet)	Width (inches)	Engine	Numbers	Retired
1978	General Motors Corporation RTS-03 TH-7603	35	96	Detroit Diesel 8V71N	101-106, 189-190, 194-205	1996
1978	General Motors Corporation RTS-03 TH-8603	40	96	Detroit Diesel 8V71N	107-188, 191-193	1996
1983	MAN SG-310-16.5-2A (articulated)	60	102	MAN D2566 MLUM	600-661	2002
1986- 1987	Motor Coach Industries 102A2	40	102	Detroit Diesel 6V92TA	901-936	2009
1989	Flxible Metro-B 40102-6T	40	102	Detroit Diesel 6V92TA	760-874	2007
1989	Flxible Metro-B 40102-6C	40	102	Cummins L10	875-879	2001
1994	Startrans Supreme Senator	25	96	Navistar T444E	301-310	1999
1994	Orion Bus Industries 02.501	25.92	96	Navistar T444E	311	2000
1995	Advanced Vehicle Systems AVS22	22	102	Solectria AC55	312	Unknown
1995- 1996	Orion Bus Industries 05.501	40	102	Detroit Diesel series 50	401-484	2009
1997	Startrans Supreme Senator	25	96	Navistar T444E	313-332	2004
1999	Startrans Supreme Senator	25	96	Navistar T444E	333-361	2005
2002	DaimlerChrysler Orion 05.505	32	96	Detroit Diesel series 50	101-115	2012
2005- 2007	Coach and Equipment Phoenix	25	91	Navistar T444E	301-320	2010
