Rank	Group	Name	Nationality	Mark
1	B	Brittney Reese	United States	6.87
2	A	Maurren Higa Maggi	Brazil	6.79
3	B	Tatyana Lebedeva	Russia	6.70
4	A	Carolina Klüft	Sweden	6.70
5	A	Grace Upshaw	United States	6.68
6	A	Oksana Udmurtova	Russia	6.63
7	B	Keila Costa	Brazil	6.62
8	A	Tabia Charles	Canada	6.61
9	A	Funmi Jimoh	United States	6.61
10	B	Jade Johnson	Great Britain	6.61
11	A	Chelsea Hammond	Jamaica	6.60
12	B	Blessing Okagbare	Nigeria	6.59
13	B	Tatyana Kotova	Russia	6.57
14	A	Hrysopiyí Devetzí	Greece	6.57
15	B	Concepción Montaner	Spain	6.53
16	B	Bronwyn Thompson	Australia	6.53
17	A	Yargelis Savigne	Cuba	6.49
18	B	Iryna Charnushenka-Stasiuk	Belarus	6.48
19	B	Kumiko Ikeda	Japan	6.47
20	A	Denisa Ščerbová	Czech Republic	6.46
21	A	Patricia Sylvester	Grenada	6.44
22	B	Viorica Țigău	Romania	6.44
23	A	Viktoriya Rybalko	Ukraine	6.43
24	A	Karin Melis Mey	Turkey	6.42
25	B	Ruky Abdulai	Canada	6.41
26	A	Nina Kolarič	Slovenia	6.40
27	B	Ksenija Balta	Estonia	6.38
28	B	Soon-ok Jung	South Korea	6.33
29	B	Olga Rypakova	Kazakhstan	6.30
30	B	Ivana Španović	Serbia	6.30
31	A	Naide Gomes	Portugal	6.29
32	A	Volha Sergeenka	Belarus	6.25
33	B	Oleksandra Stadnyuk	Ukraine	6.19
34	B	Marestella Torres	Philippines	6.17
35	A	Pamela Mouele-Mboussi	Congo	6.06
36	B	Arantxa King	Bermuda	6.01
37	A	Rhonda Watkins	Trinidad and Tobago	5.88
38	A	Tricia Flores	Belize	5.25
N/A	B	Anju Bobby George	India	NM
N/A	B	Jackie Edwards	Bahamas	NM
N/A	A	Jana Velďáková	Slovakia	NM
N/A	A	Lyudmyla Blonska	Ukraine	DSQ
