Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 3, 1978	San Diego Chargers	L 20-24	Kingdome	0-1	55778
2	September 10, 1978	at Pittsburgh Steelers	L 10-21	Three Rivers Stadium	0-2	48277
3	September 17, 1978	at New York Jets	W 24-17	Shea Stadium	1-2	46911
4	September 24, 1978	Detroit Lions	W 28-16	Kingdome	2-2	60040
5	October 1, 1978	at Denver Broncos	L 7-28	Mile High Stadium	2-3	74989
6	October 8, 1978	Minnesota Vikings	W 29-28	Kingdome	3-3	62031
7	October 15, 1978	at Green Bay Packers	L 28-45	Milwaukee County Stadium	3-4	52712
8	October 22, 1978	Oakland Raiders	W 27-7	Kingdome	4-4	62529
9	October 29, 1978	Denver Broncos	L 17-20 OT	Kingdome	4-5	62948
10	November 5, 1978	at Chicago Bears	W 31-29	Soldier Field	5-5	50697
11	November 12, 1978	Baltimore Colts	L 14-17	Kingdome	5-6	61905
12	November 19, 1978	at Kansas City Chiefs	W 13-10	Arrowhead Stadium	6-6	35252
13	November 26, 1978	at Oakland Raiders	W 17-16	Oakland-Alameda County Coliseum	7-6	52978
14	December 3, 1978	Cleveland Browns	W 47-24	Kingdome	8-6	62262
15	December 10, 1978	at San Diego Chargers	L 10-37	San Diego Stadium	8-7	49975
