Year	Song Title	Movie	Music Director	Co-Singers
1994	"Kaiyil Veenai Yendhum"	Vietnam Colony	Ilayaraja	Solo
1997	"Naramugaiye Naramugaiye"	Iruvar	A. R. Rahman	Unni Krishnan
1998	"Raagam Azhaithu"	Kanmani Oru Kavithai	Ilayaraja	Arun Mozhi, K. S. Chithra
2000	"Ninnai charan"	Bharathi	Ilayaraja	Solo
2001	"Vaseegara"	Minnale	Harris Jayaraj	Solo
2001	"Mudhal Kanave"	Majunu	Harris Jayaraj	Harish Raghavendra
2002	"Theenda Theenda[Duet]"	Thulluvadho Ilamai	Yuvan Shankar Raja	Unni Krishnan
2002	"Theenda Theenda[Solo]"	Thulluvadho Ilamai	Yuvan Shankar Raja	Solo
2002	Fusion of classical song "Kuzhaloodhi Manamellam"	Mitr, My Friend	Bhavatharini	Solo
2003	"Ondra Renda"	Kaakha Kaakha	Harris Jayaraj	Solo
2003	"Unnai Thedum"	Pon Megalai	Ilayaraja	Solo
2004	"Malargale"	Pudhukottayilirundhu Saravanan	Yuvan Shankar Raja	Solo
2004	"Thithi Thidave"	Jana	Dhina	Solo
2005	"Suttum Vizhi"	Ghajini	Harris Jayaraj	Sriram Parthasarathy
2005	"Uyire En Uyire"	Thotti Jaya	Harris Jayaraj	Karthik , Anuradha Sriram
2006	"Paartha Mudhal"	Vettaiyadu Vilayadu	Harris Jayaraj	Unni Menon
2006	"Pudichirukku Pudichirukku"	Nenjirukkum Varai	Srikanth Deva	Vijay Yesudas
2007	"Minnalgal Koothadum"	Pollathavan	G. V. Prakash Kumar	Karthik
2007	"Uppu kallu"	Karuppusamy Kuththagaithaarar	Dhina	Solo
2007	"Unakkul Naane"	Pachaikili Muthucharam	Harris Jayaraj	Chorus
2008	"Abinayam Kaatugindra"	Uliyin Osai	Ilayaraja	Sudha Raghunathan
2008	"Yaaro Manadile"	Dhaam Dhoom	Harris Jayaraj	Krish
2008	"Siru Thoduthalile"	Laadam	Dharan	Haricharan
2008	"Chellame Chellame"	Sathyam	Harris Jayaraj	Balram , Sunitha Sarathy
2008	"Priya Ithu Sitout"	Nepali	Srikanth Deva	Karthik , Savitha
2008	"Enna Matramo"	Ennai Theriyuma	Achu	Karthik
2009	"Paadhi Kaadhal"	Modhi Vilayadu	Hariharan , Leslie Lewis	Sunitha Sarathy
2009	"Nilai Varuma"	Unnaipol Oruvan	Shruthi Hassan	Kamal Haasan
2009	"Neenda Thooram[Female Version]"	Vedigundu Murugesan	Dhina	Solo
2009	"Orumurai Nee Paarthal"	Eesa	Haran	Harish Raghavendra
2009	"Orumurai Nee Paarthal 2"	Eesa	Haran	Harish Raghavendra
2009	"Kana Ondru Kanden"	Anthony Yaar?	Dhina	Shankar Mahadevan
2009	"Vizhigalile"	Renigunta	Ganesh Raghavendra	Solo
2010	"Kanna Nee"	Irumbukkottai Murattu Singam	G. V. Prakash Kumar	Naveen Iyer, D. A. Srinivas
2010	"Nenjukulle"	Thittakudi	Selva Nambi	Selva Nambi
2010	"Pemmane"	Aayirathil Oruvan	G. V. Prakash Kumar	P. B. Sreenivas
2011	"Venpaniye"	Ko	Harris Jayaraj	Sriram Parthasarathy
2011	"Kalvane En Kalvane"	Ninaivil Nindraval	D. Imman	Sricharan
2012	"Pi's Lullaby"	Life of Pi	Mychael Danna	Solo
2012	"Vennilave"	Thuppakki	Harris Jayaraj	Hariharan
2012	"Ariya Paruvathil"	Vinmeengal	Jubin	Rahul Nambiar
2012	"Yen Uyire{Unplugged}"	Maalai Pozhudhin Mayakathilaey	Achu	Solo
2012	"Otrai Viralal"	Soozhnilai	Dhina	Solo
2012	"Muthangal"	Eppadi Manasukkul Vanthai	A. J. Daniel	Unni Menon , Jai Geetha
2012	"Neeradinom"	Ithanai Naalai Engirunthai	Dhina	Solo
2012	"Uyir Ezhuthe"	Thik Thik	D. Imman	Solo
