Pos.	Player	Team	Height	Weight
G	Pat Carroll	Iowa Energy	6–5	190
F	Trey Gilder	Maine Red Claws	6–9	185
F	Carlos Powell	Albuquerque Thunderbirds	6–7	225
F	Romel Beck	Dakota Wizards	6–8	195
F	Brian Butch	Bakersfield Jam	6–11	240
F	Desmon Farmer	Reno Bighorns	6–5	210
F	Mike Harris	Rio Grande Valley Vipers	6–6	235
G	Donell Taylor	Idaho Stampede	6–5	215
G	Curtis Jerrells	Austin Toros	6–1	195
G	Mustafa Shakur	Tulsa 66ers	6–3	190
F	Diamon Simpson	Los Angeles D-Fenders	6–7	230
F	Reggie Williams	Sioux Falls Skyforce	6–6	210
G	Dontell Jefferson	Utah Flash	6–5	190
