Player	FG Pct	3FGA	3FGM	3FG Pct	FT Pct	Off Reb	Def Reb	Total Reb	Asst
Beasley	.537	86	34	.395	.770	126	249	375	36
Walker	.459	102	32	.314	.719	73	108	181	51
Pullen	.408	124	40	.323	.713	8	36	44	99
Stewart	.341	93	28	.301	.719	32	49	81	87
Young	.356	81	26	.321	.625	40	61	101	59
Gilbert	.381	38	11	.289	.667	24	41	65	41
Brown	.383	51	19	.373	.500	11	21	32	18
Sutton	.537	5	0	.000	.556	23	20	43	10
Anderson	.531	0	0	.000	.500	52	46	98	14
Kent	.388	25	7	.280	.500	24	42	66	33
Colon	.364	0	0	.000	.375	12	17	29	6
Franklin	.300	4	1	.250	.000	3	5	8	7
Merriewether	.294	6	0	.000	.444	11	12	23	19
