Team	Location	Venue	Capacity	Position in 1996
MPKC	Mozyr	Yunost, Mozyr	5,500	1
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	2
Belshina	Bobruisk	Spartak, Bobruisk	3,550	3
Dinamo-93	Minsk	Dinamo, Minsk	41,040	4
Lokomotiv-96	Vitebsk	Central, Vitebsk	8,300	5
Ataka	Minsk	Traktor	17,600	6
Naftan-Devon	Novopolotsk	Atlant	6,500	7
Molodechno	Molodechno	City Stadium	5,500	8
Dnepr	Mogilev	Spartak, Mogilev	11,200	9
Dinamo Brest	Brest	Dinamo, Brest	10,080	10
Shakhtyor	Soligorsk	Stroitel	5,000	11
Torpedo	Minsk	Torpedo, Minsk	5,200	12
Neman	Grodno	Neman	6,300	13
Torpedo-Kadino	Mogilev	Torpedo, Mogilev	3,500	14
Transmash	Mogilev	Transmash	7,000	First league , 1
Kommunalnik	Slonim	Yunost, Slonim	3,000	First league , 2
