#	Date	Visitor	Score	Home	Leading scorer	Attendance	Record	Streak
46	February 1	New York Knicks	W 94–88 OT	Portland Trail Blazers	Randolph : 25	Rose Garden 20,422	27–19	W1
47	February 4	Denver Nuggets	L 105–103 OT	Portland Trail Blazers	Anthony : 28	Rose Garden 20,320	27–20	L1
48	February 6	Chicago Bulls	W 97–100	Portland Trail Blazers	Roy : 28	Rose Garden 20,126	28–20	W1
49	February 8	Portland Trail Blazers	L 82–91	Detroit Pistons	Aldridge : 22	The Palace of Auburn Hills 22,076	28–21	L1
50	February 9	Portland Trail Blazers	L 93–101	Indiana Pacers	Granger : 29	Conseco Fieldhouse 14,130	28–22	L2
51	February 11	Portland Trail Blazers	L 83–95	Houston Rockets	Yao : 25	Toyota Center 14,710	28–23	L3
52	February 13	Portland Trail Blazers	L 76–96	Dallas Mavericks	Nowitzki : 37	American Airlines Center 20,159	28–24	L4
53	February 19	Sacramento Kings	L 105–94	Portland Trail Blazers	Artest : 24	Rose Garden 19,980	28–25	L5
54	February 21	Seattle SuperSonics	W 88–92	Portland Trail Blazers	Durant : 20	Rose Garden 20,168	29–25	W1
55	February 22	Portland Trail Blazers	L 87–99	Seattle SuperSonics	Outlaw : 26	KeyArena 16,640	29–26	L1
56	February 24	Boston Celtics	L 112–102	Portland Trail Blazers	Pierce : 30	Rose Garden 20,554	29–27	L2
57	February 26	Portland Trail Blazers	L 83–96	Los Angeles Lakers	Bryant : 30	Staples Center 18,997	29–28	L3
58	February 27	Portland Trail Blazers	W 82–80	Los Angeles Clippers	Maggette : 32	Staples Center 16,494	30–28	W1
