Week	Date	Opponent	Result	Attendance
1	September 10, 1968	at Houston Oilers	W 26–21	45,083
2	September 15, 1968	New York Jets	L 20-19	48,871
3	September 22, 1968	Denver Broncos	W 34–2	45,821
4	September 28, 1968	at Miami Dolphins	W 48–3	28,501
5	October 5, 1968	at Buffalo Bills	W 18–7	40,748
6	October 13, 1968	Cincinnati Bengals	W 13–3	47,096
7	October 20, 1968	Oakland Raiders	W 24–10	50,015
8	October 27, 1968	San Diego Chargers	W 27–20	50,344
9	November 3, 1968	at Oakland Raiders	L 38–21	53,357
10	November 10, 1968	at Cincinnati Bengals	W 16-9	25,537
11	November 17, 1968	Boston Patriots	W 31-17	48,271
12	Bye	Bye	Bye	Bye
13	November 28, 1968	Houston Oilers	W 24-10	48,493
14	December 8, 1968	at San Diego Chargers	W 40–3	51,174
15	December 14, 1968	at Denver Broncos	W 30–7	38,463
