Representative	Title	Presentation of Credentials	Termination of Mission	Appointed by
Robert L. Flanagin	Chargé d'Affaires ad interim	Nov 25, 1975	Mar 25, 1976	Gerald Ford
J. Owen Zurhellen, Jr.	Ambassador Extraordinary and Plenipotentiary	March 25, 1976	June 2, 1978	Gerald Ford
Nancy Ostrander	Ambassador Extraordinary and Plenipotentiary	June 29, 1978	July 8, 1980	Jimmy Carter
John J. Crowley, Jr.	Ambassador Extraordinary and Plenipotentiary	July 25, 1980	December 10, 1981	Jimmy Carter
Robert Werner Duemling	Ambassador Extraordinary and Plenipotentiary	August 4, 1982	August 24, 1984	Ronald Reagan
Robert E. Barbour	Ambassador Extraordinary and Plenipotentiary	October 25, 1984	October 23, 1987	Ronald Reagan
Richard C. Howland	Ambassador Extraordinary and Plenipotentiary	December 9, 1987	May 16, 1990	Ronald Reagan
John P. Leonard	Ambassador Extraordinary and Plenipotentiary	March 11, 1991	November 1, 1993	George H. W. Bush
Roger R. Gamble	Ambassador Extraordinary and Plenipotentiary	November 23, 1993	September 20, 1996	Bill Clinton
Dennis K. Hays	Ambassador Extraordinary and Plenipotentiary	March 14, 1997	June 14, 2000	Bill Clinton
Daniel A.Johnson	Ambassador Extraordinary and Plenipotentiary	September 29, 2000	June 3, 2003	Bill Clinton
Marsha E. Barnes	Ambassador Extraordinary and Plenipotentiary	August 11, 2003	July 27, 2006	George W. Bush
Lisa Bobbie Schreiber Hughes	Ambassador Extraordinary and Plenipotentiary	September 8, 2006	September 30, 2009	George W. Bush
John R. Nay	Ambassador Extraordinary and Plenipotentiary	October 16, 2009	Incumbent	Barack Obama
