Match	Date	Competition or tour	Ground	Opponent	Score1
1	7 Jul 2007	Friendly	A	Knokke	11 - 0
2	10 Jul 2007	OBI-Cup	N	Galatasaray	0 - 1
3	12 Jul 2007	OBI-Cup	N	Borussia Dortmund	1 - 2
4	18 Jul 2007	Friendly	A	Nancy	2 - 1
5	19 Jul 2007	Friendly	A	Wolvertem	3 - 0
6	21 Jul 2007	Friendly	A	Marseille	2 - 4
7	22 Jul 2007	Friendly	A	OH Leuven	0 - 2
8	25 Jul 2007	Friendly	N	Alemannia Aachen	0 - 1
9	31 Jul 2007	Friendly	A	Crystal Palace	1 - 1
10	6 Jan 2008	Friendly	N	Be Quick	7 - 0
11	8 Jan 2008	Friendly	A	Cartagena	0 - 2
12	21 May 2008	Friendly	A	Wolvertem	4 - 1
