System	Band	Uplink (MHz)	Downlink (MHz)	Channel number
T-GSM-380	380	380.2–389.8	390.2–399.8	dynamic
T-GSM-410	410	410.2–419.8	420.2–429.8	dynamic
GSM-450	450	450.6–457.6	460.6–467.6	259–293
GSM-480	480	479.0–486.0	489.0–496.0	306–340
GSM-710	710	698.2–716.2	728.2–746.2	dynamic
GSM-750	750	747.2–762.2	777.2–792.2	438–511
T-GSM-810	810	806.2–821.2	851.2–866.2	dynamic
GSM-850	850	824.2–849.2	869.2–894.2	128–251
P-GSM-900	900	890.0–915.0	935.0–960.0	1–124
E-GSM-900	900	880.0–915.0	925.0–960.0	975–1023, 0-124
R-GSM-900	900	876.0–915.0	921.0–960.0	955–1023, 0-124
T-GSM-900	900	870.4–876.0	915.4–921.0	dynamic^
DCS-1800	1800	1,710.2–1,784.8	1,805.2–1,879.8	512–885
PCS-1900	1900	1,850.2–1,909.8	1,930.2–1,989.8	512–810
