Season	Games	Lost	Tied	Points	Goals for	Goals against	Coach
1965–66	70	19	5	97	376	314	Morris Lallo
1966–67	72	43	2	56	262	299	Morris Lallo
1967–68	72	17	12	98	305	216	Morris Lallo
1968–69	72	29	9	77	332	287	Morris Lallo
1969–70	72	18	8	100	356	271	Morris Lallo
1970–71	72	24	5	91	300	212	Morris Lallo
1971–72	72	21	2	100	328	231	Morris Lallo
1972–73	74	34	4	76	302	259	Bryan McLay † Morris Lallo ‡
1973–74	76	26	6	94	272	234	Morris Lallo
1974–75	75	24	3	99	325	240	Morris Lallo
1975–76	78	31	13	81	260	238	Morris Lallo
1976–77	78	36	11	73	294	322	Bryan McLay † Morris Lallo ‡
1977–78	80	42	11	65	290	322	Bryan McLay † Morris Lallo ‡ Gerry Moore ‡
1978–79	80	58	7	37	275	475	Gerry Moore
1979–80	80	43	8	66	317	330	Gerry Moore
1980–81	82	45	9	65	274	351	Gerry Moore † Ted Garvin ‡
1981–82	82	49	3	64	319	411	Poul Popiel † Gerry Moore ‡
1982–83	82	41	12	71	335	354	Doug McKay
1983–84	82	58	5	46	282	435	Doug McKay
