Place	Player	Country	Score	To par
1	Sergio García	Spain	66	–6
T2	Jay Haas	United States	68	–4
T2	J. P. Hayes	United States	68	–4
T2	Mike Weir	Canada	68	–4
T5	Stewart Cink	United States	69	–3
T5	Brandt Jobe	United States	69	–3
T5	Jerry Kelly	United States	69	–3
T5	Corey Pavin	United States	69	–3
T5	Brian Watts	United States	69	–3
T10	Mark Brooks	United States	70	–2
T10	David Duval	United States	70	–2
T10	Hale Irwin	United States	70	–2
T10	Mark James	England	70	–2
T10	Miguel Ángel Jiménez	Spain	70	–2
T10	Robert Karlsson	Sweden	70	–2
T10	Tom Lehman	United States	70	–2
T10	Chris Perry	United States	70	–2
T10	Nick Price	Zimbabwe	70	–2
T10	Loren Roberts	United States	70	–2
T10	Ted Tryba	United States	70	–2
T10	Lee Westwood	England	70	–2
T10	Tiger Woods	United States	70	–2
T10	Bruce Zabriski	United States	70	–2
