Date	Visitor	Score	Home	Decision	Attendance	Record
April 1	Washington Capitals	1–0	Ottawa	Emery	19,403	49–17–7
April 3	Atlanta Thrashers	4–6	Ottawa	Emery	18,742	50–17–7
April 5	Ottawa	4–5	Buffalo Sabres	Emery	17,622	50–17–8
April 6	Montreal Canadiens	5–2	Ottawa	Emery	19,929	50–18–8
April 8	Buffalo Sabres	6–2	Ottawa	Emery	19,575	50–19–8
April 10	Ottawa	2–3	Montreal Canadiens	Emery	21,273	50–20–8
April 11	Boston Bruins	3–4	Ottawa	Morrison	18,279	51–20–8
April 13	Florida Panthers	5–4	Ottawa	Morrison	19,173	51–20–9
April 15	Ottawa	1–5	Toronto Maple Leafs	Emery	19,410	51–21–9
April 18	Ottawa	5–1	New York Rangers	Emery	18,200	52–21–9
