Name	Team	Qual 1	Qual 2	Best
Will Power	Team Australia	59.155	58.403	58.403
Sébastien Bourdais	N/H/L Racing	58.709	58.596	58.596
Justin Wilson	RSPORTS	59.174	58.410	58.410
Graham Rahal	N/H/L Racing	59.112	58.485	58.485
Neel Jani (R)	PKV Racing	59.465	58.762	58.762
Bruno Junqueira	Dale Coyne Racing	59.127	58.846	58.846
Simon Pagenaud (R)	Team Australia	58.974	58.868	58.868
Ryan Dalziel	Pacific Coast Motorsports	1:01.055	59.256	59.256
Alex Tagliani	RSPORTS	59.483	59.549	59.483
Dan Clarke	Minardi Team USA	no time	59.503	59.503
Robert Doornbos (R)	Minardi Team USA	59.941	59.553	59.553
Jan Heylen	Conquest Racing	1:00.470	59.561	59.561
Oriol Servia	Forsythe Racing	59.582	59.695	59.582
Paul Tracy	Forsythe Racing	1:01.840	1:00.107	1:00.107
Katherine Legge	Dale Coyne Racing	1:00.222	1:00.850	1:00.222
Alex Figge (R)	Pacific Coast Motorsports	1:00.937	1:01.996	1:00.937
