Name	Position	Period	Appearances¹	Goals¹	Nationality²
Franck Tanasi	Defender	1977 – 1979, 1982 – 1991	253	0	France
Filipe Teixeira	Midfielder	2002 – 2003, 2004 – 2005	25	1	Portugal
Siaka Tiéné	Defender	2010 - 2013	75	1	Ivory Coast
Thierry Tinmar	Defender	1984 – 1985	22	0	France
Didier Toffolo	Defender	1979 – 1983	35	0	France
Nabatingue Toko	Forward	1980 – 1985	171	43	Chad
Jean-Pierre Tokoto	Forward	1975 – 1978	59	17	Cameroon
Alioune Touré	Forward	2002 – 2005	35	1	France
Sammy Traoré	Defender	2006 – 2011	94	4	Mali
André Travetto	Defender	1975 – 1976	9	0	France
