Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Honda Marlboro McLaren	McLaren - Honda	MP4/6B MP4/7A	Honda RA121E 3.5 V12 Honda RA122E/B 3.5 V12	G	Ayrton Senna	All
Honda Marlboro McLaren	McLaren - Honda	MP4/6B MP4/7A	Honda RA121E 3.5 V12 Honda RA122E/B 3.5 V12	G	Gerhard Berger	All
Tyrrell Racing Organisation	Tyrrell - Ilmor	020B	Ilmor 2175A 3.5 V10	G	Olivier Grouillard	All
Tyrrell Racing Organisation	Tyrrell - Ilmor	020B	Ilmor 2175A 3.5 V10	G	Andrea de Cesaris	All
Canon Williams Team	Williams - Renault	FW14B	Renault RS3C 3.5 V10 Renault RS4 3.5 V10	G	Nigel Mansell	All
Canon Williams Team	Williams - Renault	FW14B	Renault RS3C 3.5 V10 Renault RS4 3.5 V10	G	Riccardo Patrese	All
Motor Racing Developments	Brabham - Judd	BT60B	Judd GV 3.5 V10	G	Eric van de Poele	1–10
Motor Racing Developments	Brabham - Judd	BT60B	Judd GV 3.5 V10	G	Giovanna Amati	1–3
Motor Racing Developments	Brabham - Judd	BT60B	Judd GV 3.5 V10	G	Damon Hill	4–11
Footwork Mugen Honda	Footwork - Mugen-Honda	FA13	Mugen-Honda MF-351H 3.5 V10	G	Michele Alboreto	All
Footwork Mugen Honda	Footwork - Mugen-Honda	FA13	Mugen-Honda MF-351H 3.5 V10	G	Aguri Suzuki	All
Team Lotus	Lotus - Ford	102D 107	Ford HB 3.5 V8	G	Mika Häkkinen	All
Team Lotus	Lotus - Ford	102D 107	Ford HB 3.5 V8	G	Johnny Herbert	All
Fondmetal	Fondmetal - Ford	GR01 GR02	Ford HB 3.5 V8	G	Andrea Chiesa	1–10
Fondmetal	Fondmetal - Ford	GR01 GR02	Ford HB 3.5 V8	G	Eric van de Poele	11–13
Fondmetal	Fondmetal - Ford	GR01 GR02	Ford HB 3.5 V8	G	Gabriele Tarquini	1–13
March F1	March - Ilmor	CG911	Ilmor 2175A 3.5 V10	G	Karl Wendlinger	1–14
March F1	March - Ilmor	CG911	Ilmor 2175A 3.5 V10	G	Jan Lammers	15–16
March F1	March - Ilmor	CG911	Ilmor 2175A 3.5 V10	G	Paul Belmondo	1–11
March F1	March - Ilmor	CG911	Ilmor 2175A 3.5 V10	G	Emanuele Naspetti	12–16
Camel Benetton Ford	Benetton - Ford	B191B B192	Ford HB Series 3.5 V8	G	Michael Schumacher	All
Camel Benetton Ford	Benetton - Ford	B191B B192	Ford HB Series 3.5 V8	G	Martin Brundle	All
Scuderia Italia	Dallara - Ferrari	192	Ferrari 037 3.5 V12	G	JJ Lehto	All
Scuderia Italia	Dallara - Ferrari	192	Ferrari 037 3.5 V12	G	Pierluigi Martini	All
Minardi Team	Minardi - Lamborghini	M191 M192	Lamborghini 3512 3.5 V12	G	Christian Fittipaldi	1–8, 12–16
Minardi Team	Minardi - Lamborghini	M191 M192	Lamborghini 3512 3.5 V12	G	Alessandro Zanardi	9–11
Minardi Team	Minardi - Lamborghini	M191 M192	Lamborghini 3512 3.5 V12	G	Gianni Morbidelli	All
Ligier Gitanes Blondes	Ligier - Renault	JS37	Renault RS3B 3.5 V10 Renault RS3C 3.5 V10	G	Thierry Boutsen	All
Ligier Gitanes Blondes	Ligier - Renault	JS37	Renault RS3B 3.5 V10 Renault RS3C 3.5 V10	G	Érik Comas	All
Scuderia Ferrari	Ferrari	F92A F92AT	Ferrari 038 3.5 V12	G	Jean Alesi	All
Scuderia Ferrari	Ferrari	F92A F92AT	Ferrari 038 3.5 V12	G	Ivan Capelli	1–14
Scuderia Ferrari	Ferrari	F92A F92AT	Ferrari 038 3.5 V12	G	Nicola Larini	15–16
Central Park Venturi Larrousse	Venturi - Lamborghini	LC92	Lamborghini 3512 3.5 V12	G	Bertrand Gachot	All
Central Park Venturi Larrousse	Venturi - Lamborghini	LC92	Lamborghini 3512 3.5 V12	G	Ukyo Katayama	All
Sasol Jordan Yamaha	Jordan - Yamaha	192	Yamaha OX99 3.5 V12	G	Stefano Modena	All
Sasol Jordan Yamaha	Jordan - Yamaha	192	Yamaha OX99 3.5 V12	G	Maurício Gugelmin	All
Andrea Moda Formula	Andrea Moda - Judd	C4B S921	Judd GV 3.5 V10	G	Alex Caffi	1–2
Andrea Moda Formula	Andrea Moda - Judd	C4B S921	Judd GV 3.5 V10	G	Roberto Moreno	3–12
Andrea Moda Formula	Andrea Moda - Judd	C4B S921	Judd GV 3.5 V10	G	Enrico Bertaggia	1–2
Andrea Moda Formula	Andrea Moda - Judd	C4B S921	Judd GV 3.5 V10	G	Perry McCarthy	3–12
