Council	TUV	Democratic Unionist	Ulster Unionist	Alliance	SDLP	Sinn Féin	Green (NI)	Independent	Others	Total
Antrim	0	5	5	2	3	4	0	0	0	19
Ards	0	11	6	4	1	0	0	1	0	23
Armagh	0	4	6	0	5	6	0	1	0	22
Ballymena	2	12	4	1	2	2	0	1	0	24
Ballymoney	1	8	2	0	1	3	0	1	0	16
Banbridge	0	5	7	1	2	1	0	0	0	17
Belfast	0	15	3	6	8	16	0	1	2 PUP	51
Carrickfergus	0	8	4	3	0	0	0	2	0	17
Castlereagh	0	11	3	6	2	0	1	0	0	23
Coleraine	0	9	5	2	3	1	0	2	0	22
Cookstown	0	3	3	0	4	6	0	0	0	16
Craigavon	0	9	6	1	2	8	0	0	0	26
Derry	0	5	1	0	14	10	0	0	0	30
Down	0	3	3	1	9	5	1	1	0	23
Dungannon	0	6	4	0	3	8	0	1	0	22
Fermanagh	0	4	6	0	3	9	0	1	0	23
Larne	1	4	3	3	1	1	0	2	0	15
Limavady	1	2	2	0	3	6	0	0	0	16
Lisburn	0	14	5	3	3	5	0	0	0	30
Magherafelt	0	3	2	0	2	9	0	0	0	16
Moyle	1	2	3	0	2	3	0	4	0	15
Newry and Mourne	0	1	3	0	9	14	0	2	1 UKIP	30
Newtownabbey	0	12	5	5	1	2	0	0	0	25
North Down	0	11	3	7	0	0	1	3	0	25
Omagh	0	3	3	0	3	10	0	2	0	21
